as, AE1 Z , s, 
we, W IY1 , s, 
do, D OW :, s, 
turn, T ɐ : R N, s, 
our, OW : R, s, 
backs, B AE1 K S , s, 
from, F R AH1 M , s, 
our, OW : R, s, 
companion, K AH0 M P AE1 N Y AH0 N , s, 
thrown, TH R OW1 N , s, 
into, IH1 N T UW0 , s, 
his, HH IH1 Z , s, 
grave, G r EH: : V, s, 
so, S OW :, s, 
his, HH IH1 Z , s, 
familiars, F ǝ ˈ M IH L IH ǝ R Z, s, 
to, T UW1 , s, 
his, HH IH1 Z , s, 
buried, ˈ B e r ə IH D, s, 
fortunes, F AO1 R CH AH0 N Z , s, 
all, AA : L, s, 
away, ǝ ˈ W EH: :, s, 
leave, L IY1 V , s, 
their, DH EH1 R , s, 
false, F AA L S, s, 
vows, V ǝ UH Z, s, 
with, W IH1 DH , s, 
him, HH IH1 M , s, 
like, L ǝ IH K, s, 
empty, ˈ e M T ǝ IH, s, 
purses, ˈ P ɐ : R S IH Z, s, 
picked, P IH1 K T , s, 
and, AH0 N D , s, 
his, HH IH1 Z , s, 
poor, P UW1 R , s, 
self, S EH1 L F , s, 
a, AH0 , s, 
dedicated, ˈ D e D IH ˌ K EH: : T IH D, s, 
beggar, ˈ B e ɡ ə R, s, 
to, T UW1 , s, 
the, DH AH0 , s, 
air, EH: R, s, 
with, W IH1 DH , s, 
his, HH IH1 Z , s, 
disease, D IH S ˈ IY : Z, s, 
of, AH1 V , s, 
poverty, ˈ P ɒ V ǝ R ˌ T ǝ IH, s, 
walks, W AO1 K S , s, 
like, L ǝ IH K, s, 
contempt, K ǝ N ˈ T e M T, s, 
alone, ǝ ˈ L OW : N, s, 
more, M AO1 R , s, 
of, AH1 V , s, 
our, OW : R, s, 
fellows, F EH1 L OW0 Z , s, 
as, AE1 Z , s, 
we, W IY1 , s, 
do, D OW :, s, 
turn, T ɐ : R N, s, 
our, OW : R, s, 
backs, B AE1 K S , s, 
from, F R AH1 M , s, 
our, OW : R, s, 
companion, K AH0 M P AE1 N Y AH0 N , s, 
thrown, TH R OW1 N , s, 
into, IH0 N T UW1 , s, 
his, HH IH1 Z , s, 
grave, G r EH: : V, s, 
so, S OW :, s, 
his, HH IH1 Z , s, 
familiars, F ǝ ˈ M IH L IH ǝ R Z, s, 
to, T UW1 , s, 
his, HH IH1 Z , s, 
buried, ˈ B e r ə IH D, s, 
fortunes, F AO1 R CH AH0 N Z , s, 
all, AA : L, s, 
away, ǝ ˈ W EH: :, s, 
leave, L IY1 V , s, 
their, DH EH1 R , s, 
false, F AA L S, s, 
vows, V ǝ UH Z, s, 
with, W IH1 DH , s, 
him, HH IH1 M , s, 
like, L ǝ IH K, s, 
empty, ˈ e M T ǝ IH, s, 
purses, ˈ P ɐ : R S IH Z, s, 
picked, P IH1 K T , s, 
and, AH0 N D , s, 
his, HH IH1 Z , s, 
poor, P UH1 R , s, 
self, S EH1 L F , s, 
a, AH0 , s, 
dedicated, ˈ D e D IH ˌ K EH: : T IH D, s, 
beggar, ˈ B e ɡ ə R, s, 
to, T UW1 , s, 
the, DH AH0 , s, 
air, EH: R, s, 
with, W IH1 DH , s, 
his, HH IH1 Z , s, 
disease, D IH S ˈ IY : Z, s, 
of, AH1 V , s, 
poverty, ˈ P ɒ V ǝ R ˌ T ǝ IH, s, 
walks, W AO1 K S , s, 
like, L ǝ IH K, s, 
contempt, K ǝ N ˈ T e M T, s, 
alone, ǝ ˈ L OW : N, s, 
more, M AO1 R , s, 
of, AH1 V , s, 
our, OW : R, s, 
fellows, F EH1 L OW0 Z , s, 
as, AE1 Z , s, 
we, W IY1 , s, 
do, D OW :, s, 
turn, T ɐ : R N, s, 
our, OW : R, s, 
backs, B AE1 K S , s, 
from, F R AH1 M , s, 
our, OW : R, s, 
companion, K AH0 M P AE1 N Y AH0 N , s, 
thrown, TH R OW1 N , s, 
into, IH0 N T UW1 , s, 
his, HH IH1 Z , s, 
grave, G r EH: : V, s, 
so, S OW :, s, 
his, HH IH1 Z , s, 
familiars, F ǝ ˈ M IH L IH ǝ R Z, s, 
to, T UW1 , s, 
his, HH IH1 Z , s, 
buried, ˈ B e r ə IH D, s, 
fortunes, F AO1 R CH AH0 N Z , s, 
all, AA : L, s, 
away, ǝ ˈ W EH: :, s, 
leave, L IY1 V , s, 
their, DH EH1 R , s, 
false, F AA L S, s, 
vows, V ǝ UH Z, s, 
with, W IH1 DH , s, 
him, HH IH1 M , s, 
like, L ǝ IH K, s, 
empty, ˈ e M T ǝ IH, s, 
purses, ˈ P ɐ : R S IH Z, s, 
picked, P IH1 K T , s, 
and, AH0 N D , s, 
his, HH IH1 Z , s, 
poor, P UH1 R , s, 
self, S EH1 L F , s, 
a, AH0 , s, 
dedicated, ˈ D e D IH ˌ K EH: : T IH D, s, 
beggar, ˈ B e ɡ ə R, s, 
to, T UW1 , s, 
the, DH AH0 , s, 
air, EH: R, s, 
with, W IH1 DH , s, 
his, HH IH1 Z , s, 
disease, D IH S ˈ IY : Z, s, 
of, AH1 V , s, 
poverty, ˈ P ɒ V ǝ R ˌ T ǝ IH, s, 
walks, W AO1 K S , s, 
like, L ǝ IH K, s, 
contempt, K ǝ N ˈ T e M T, s, 
alone, ǝ ˈ L OW : N, s, 
more, M AO1 R , s, 
of, AH1 V , s, 
our, OW : R, s, 
fellows, F EH1 L OW0 Z , s, 
