here, HH IY1 R , s, 
is, IH1 Z , s, 
the, DH AH0 , s, 
number, N AH1 M B ER0 , s, 
of, AH1 V , s, 
the, DH AH0 , s, 
slaughtered, ˈ S L AO : T ǝ R D, s, 
french, F R EH1 N CH , s, 
here, HH IY1 R , s, 
is, IH1 Z , s, 
the, DH AH0 , s, 
number, N AH1 M B ER0 , s, 
of, AH1 V , s, 
the, DH AH0 , s, 
slaughtered, ˈ S L AO : T ǝ R D, s, 
french, F R EH1 N CH , s, 
here, HH IY1 R , s, 
is, IH1 Z , s, 
the, DH AH0 , s, 
number, N AH1 M B ER0 , s, 
of, AH1 V , s, 
the, DH AH0 , s, 
slaughtered, ˈ S L AO : T ǝ R D, s, 
french, F R EH1 N CH , s, 
