m,y;M,AY;s; 
l,o,r,d;L,AO,R,D;s; 
t,e,ll;T,EH,L;s; 
y,ou;Y,UW;s; 
th,a,t;DH,AE,T;s; 
s,e,l,f;S,EH,L,F;s; 
b,i,ll;B,IH,L;s; 
i,s;IH,Z;s; 
i,n;IH,N;s; 
e,l,e,v,e,n,th;IH,L,EH,V,AH,N,TH;s; 
y,ea,r;Y,IH,R;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
l,a,s,t;L,AE,S,T;s; 
w,a,s;W,AA,Z;s; 
a,n,d;AH,N,D;s; 
h,a,d;HH,AE,D;s; 
i,n,d,ee,d;IH,N,D,IY,D;s; 
a,g,ai,n,s,t;AH,G,EH,N,S,T;s; 
u,s;AH,S;s; 
p,a,ss,e,d;P,AW,S,IH,D;s; 
b,u,t;B,AH,T;s; 
th,a,t;DH,AE,T;s; 
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
d,i,d;D,IH,D;s; 
p,u,sh;P,UH,SH;s; 
i,t;IH,T;s; 
ou,t;AW,T;s; 
o,f;AH,V;s; 
i,t;IH,T;s; 
m,u,s,t;M,AH,S,T;s; 
b,e;B,IY;s; 
o,n;AA,N;s; 
i,f;IH,F;s; 
i,t;IH,T;s; 
p,a,ss;P,AE,S;s; 
a,g,ai,n,s,t;AH,G,EH,N,S,T;s; 
u,s;AH,S;s; 
w,e;W,IY;s; 
th,e;DH,AH;s; 
b,e,tt,e,r;B,e,T,ə,R;s; 
o,f;AH,V;s; 
ou,r;OW,R;s; 
f,o,r;F,AO,R;s; 
a,ll;AA,L;s; 
th,e;DH,AH;s; 
l,a,n,d,s;L,AE,N,D,Z;s; 
m,e,n;M,EH,N;s; 
b,y;B,AY;s; 
t,e,s,t,a,m,e,n,t;T,EH,S,T,AH,M,AH,N,T;s; 
g,i,v,e,n;G,IH,V,AH,N;s; 
t,o;T,UW;s; 
th,e;DH,AH;s; 
s,t,r,i,p;S,T,R,IH,P;s; 
f,r,o,m;F,R,AH,M;s; 
u,s;AH,S;s; 
b,ei,n,g;B,IY,IH,NG;s; 
th,u,s;DH,ɤ,S;s; 
a,s;AE,Z;s; 
a,s;AE,Z;s; 
m,ai,n,t,ai,n;M,EY,N,T,EY,N;s; 
t,o;T,UW;s; 
th,e;DH,AH;s; 
f,u,ll;F,UH,L;s; 
f,i,f,t,ee,n;F,IH,F,T,IY,N;s; 
a,n,d;AH,N,D;s; 
f,i,f,t,ee,n;F,IH,F,T,IY,N;s; 
a,n,d;AH,N,D;s; 
g,oo,d;G,UH,D;s; 
a,n,d;AH,N,D;s; 
t,o;T,UW;s; 
r,e,l,ie,f;R,IH,L,IY,F;s; 
o,f;AH,V;s; 
l,a,z,a,r,s;L,AW,Z,ǝ,R,Z;s; 
a,n,d;AH,N,D;s; 
w,ea,k;W,IY,K;s; 
o,f;AH,V;s; 
i,n,d,i,g,e,n,t;IH,N,D,IH,JH,AH,N,T;s; 
f,ai,n,t;F,EH,N,T;s; 
