there, DH EH1 R , s, 
is, IH1 Z , s, 
ten, T EH1 N , s, 
thousand, ˈ TH ǝ UH Z ǝ N D, s, 
soldiers, S OW1 L JH ER0 Z , s, 
sir, S ER1 , s, 
the, DH AH0 , s, 
english, IH1 NG G L IH0 SH , s, 
force, F AO : R S, s, 
so, S OW :, s, 
please, P L IY1 Z , s, 
you, Y UW1 , s, 
there, DH EH1 R , s, 
is, IH1 Z , s, 
ten, T EH1 N , s, 
thousand, ˈ TH ǝ UH Z ǝ N D, s, 
soldiers, S OW1 L JH ER0 Z , s, 
sir, S ER1 , s, 
the, DH AH0 , s, 
english, IH1 NG G L IH0 SH , s, 
force, F AO : R S, s, 
so, S OW :, s, 
please, P L IY1 Z , s, 
you, Y UW1 , s, 
there, DH EH1 R , s, 
is, IH1 Z , s, 
ten, T EH1 N , s, 
thousand, ˈ TH ǝ UH Z ǝ N D, s, 
soldiers, S OW1 L JH ER0 Z , s, 
sir, S ER1 , s, 
the, DH AH0 , s, 
english, IH1 NG G L IH0 SH , s, 
force, F AO : R S, s, 
so, S OW :, s, 
please, P L IY1 Z , s, 
you, Y UW1 , s, 
