was,'W AA Z',s,'AA'
never,'N e V ǝ R',s,''
so,'S OW',s,''
thou,'DH AW',s,''
dost,'D AA S T',s,'AA'
overween,'OW V ǝ R W IY N',s,'IY'
in,'IH N',s,'IH'
all,'AA L',s,'AA'
and,'AH N D',s,''
so,'S OW',s,''
in,'IH N',s,'IH'
this,'DH IH S',s,'IH'
to,'T UW',s,'UW'
bear,'B EH R',s,''
me,'M IY',s,'IY'
down,'D ǝ UH N',s,'UH'
with,'W IH DH',s,'IH'
not,'N AA T',s,'AA'
the,'DH AH',s,''
of,'AH V',s,''
a,'AH',s,''
year,'Y IH R',s,'IH'
or,'AO R',s,'AO'
me,'M IY',s,'IY'
less,'L EH S',s,''
or,'AO R',s,'AO'
thee,'DH IY',s,'IY'
i,'AY',s,'AY'
am,'AE M',s,'AE'
as,'AE Z',s,'AE'
and,'AH N D',s,''
as,'AE Z',s,'AE'
fit,'F IH T',s,'IH'
as,'AE Z',s,'AE'
thou,'DH AW',s,''
to,'T UW',s,'UW'
seve,'S ER V',s,''
and,'AH N D',s,''
to,'T UW',s,'UW'
my,'M AY',s,'AY'
and,'AH N D',s,''
that,'DH AE T',s,'AE'
my,'M AY',s,'AY'
upon,'AH P AA N',s,'AA'
thee,'DH IY',s,'IY'
shall,'SH AE L',s,'AE'
appprve,'AH P R UW V',s,'UW'
and,'AH N D',s,''
plead,'P L IY D',s,'IY'
my,'M AY',s,'AY'
passions,'P AE SH AH N Z',s,'AE'
for,'F AO R',s,'AO'
with,'W IH DH',s,'IH'
the,'DH AH',s,''
skill,'S K IH L',s,'IH'
i,'AY',s,'AY'
full,'F UH L',s,'UH'
well,'W EH L',s,''
shalt,'SH AE L T',s,'AE'
thou,'DH AW',s,''
percve,'P ER S IY V',s,'IY'
i,'AY',s,'AY'
for,'F AO R',s,'AO'
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
am,'AE M',s,'AE'
and,'AH N D',s,''
full,'F UH L',s,'UH'
that,'DH AE T',s,'AE'
with,'W IH DH',s,'IH'
and,'AH N D',s,''
with,'W IH DH',s,'IH'
weapon,'W EH P AH N',s,''
perform,'P ǝ R F AO R M',s,'AO'
i,'AY',s,'AY'
not,'N AA T',s,'AA'
i,'AY',s,'AY'
she,'SH IY',s,'IY'
and,'AH N D',s,''
all,'AA L',s,'AA'
the,'DH AH',s,''
i,'AY',s,'AY'
than,'DH AE N',s,'AE'
all,'AA L',s,'AA'
the,'DH AH',s,''
aaron,'EH R AH N',s,''
a,'AH',s,''
i,'AY',s,'AY'
to,'T UW',s,'UW'
whom,'HH UW M',s,'UW'
i,'AY',s,'AY'
so,'S OW',s,''
the,'DH AH',s,''
turn,'T ɐ R N',s,''
wre,'W ER',s,''
faith,'F EY TH',s,'EY'
not,'N AA T',s,'AA'
me,'M IY',s,'IY'
lad,'L AE D',s,'AE'
of,'AH V',s,''
no,'N OW',s,''
and,'AH N D',s,''
this,'DH IH S',s,'IH'
for,'F AO R',s,'AO'
me,'M IY',s,'IY'
hme,'OW M',s,''
to,'T UW',s,'UW'
my,'M AY',s,'AY'
strength,'S T R EH NG K TH',s,''
and,'AH N D',s,''
if,'IH F',s,'IH'
she,'SH IY',s,'IY'
do,'D OW',s,''
i,'AY',s,'AY'
i,'AY',s,'AY'
wre,'W ER',s,''
an,'AE N',s,'AE'
drag,'D R AE G',s,'AE'
to,'T UW',s,'UW'
secret,'S IY K R AH T',s,'IY'
hle,'OW L',s,''
and,'AH N D',s,''
his,'HH IH Z',s,'IH'
dead,'D EH D',s,''
trunk,'T r ɤ NG K',s,''
to,'T UW',s,'UW'
our,'OW R',s,''
lust,'L AH S T',s,''
i,'AY',s,'AY'
warrant,'W AA r ǝ N T',s,'AA'
you,'Y UW',s,'UW'
madam,'M AE D AH M',s,'AE'
we,'W IY',s,'IY'
will,'W IH L',s,'IH'
that,'DH AE T',s,'AE'
mistress,'M IH S T R AH S',s,'IH'
perfoce,'P ER F AO R S',s,'AO'
we,'W IY',s,'IY'
will,'W IH L',s,'IH'
that,'DH AE T',s,'AE'
of,'AH V',s,''
yours,'Y UH R Z',s,'UH'
what,'W AH T',s,''
thou,'DH AW',s,''
me,'M IY',s,'IY'
myself,'M AY S EH L F',s,'AY'
a,'AH',s,''
then,'DH EH N',s,''
stop,'S T AA P',s,'AA'
your,'Y AO R',s,'AO'
thou,'DH AW',s,''
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
the,'DH AH',s,''
hle,'OW L',s,''
aaron,'EH R AH N',s,''
bid,'B IH D',s,'IH'
us,'AH S',s,''
him,'HH IH M',s,'IH'
down,'D ǝ UH N',s,'UH'
so,'S OW',s,''
an,'AE N',s,'AE'
if,'IH F',s,'IH'
stumps,'S T ɤ M P S',s,''
will,'W IH L',s,'IH'
let,'L EH T',s,''
thee,'DH IY',s,'IY'
the,'DH AH',s,''
go,'G OW',s,''
hme,'OW M',s,''
call,'K AO L',s,'AO'
for,'F AO R',s,'AO'
sweet,'S W IY T',s,'IY'
water,'W AA T ǝ R',s,'AA'
wash,'W AA SH',s,'AA'
an,'AE N',s,'AE'
my,'M AY',s,'AY'
i,'AY',s,'AY'
go,'G OW',s,''
myself,'M AY S EH L F',s,'AY'
the,'DH AH',s,''
son,'S AO ̃',s,'AO'
of,'AH V',s,''
lucius,'L UW SH AH S',s,'UW'
he,'HH IY',s,'IY'
hath,'HH AE TH',s,'AE'
to,'T UW',s,'UW'
deliver,'D IH L IH V ǝ R',s,'IH IH'
us,'AH S',s,''
o,'OW',s,''
a,'AH',s,''
in,'IH N',s,'IH'
horce,'ɒ r IH S',s,'IH'
i,'AY',s,'AY'
it,'IH T',s,'IH'
well,'W EH L',s,''
i,'AY',s,'AY'
read,'r e D',s,''
it,'IH T',s,'IH'
in,'IH N',s,'IH'
the,'DH AH',s,''
ago,'ǝ ɡ OW',s,''
a,'AH',s,''
wish,'W IH SH',s,'IH'
and,'AH N D',s,''
full,'F UH L',s,'UH'
of,'AH V',s,''
and,'AH N D',s,''
that,'DH AE T',s,'AE'
she,'SH IY',s,'IY'
for,'F AO R',s,'AO'
for,'F AO R',s,'AO'
the,'DH AH',s,''
hath,'HH AE TH',s,'AE'
a,'AH',s,''
son,'S AO ̃',s,'AO'
thou,'DH AW',s,''
hast,'HH AE S T',s,'AE'
our,'OW R',s,''
it,'IH T',s,'IH'
shall,'SH AE L',s,'AE'
not,'N AA T',s,'AA'
will,'W IH L',s,'IH'
for,'F AO R',s,'AO'
this,'DH IH S',s,'IH'
i,'AY',s,'AY'
blush,'B L ɤ SH',s,''
to,'T UW',s,'UW'
think,'TH IH NG K',s,'IH'
upon,'AH P AA N',s,'AA'
this,'DH IH S',s,'IH'
aaron,'EH R AH N',s,''
i,'AY',s,'AY'
see,'S IY',s,'IY'
thou,'DH AW',s,''
wilt,'W IH L T',s,'IH'
not,'N AA T',s,'AA'
trust,'T r ɤ S T',s,''
the,'DH AH',s,''
air,'EH R',s,''
with,'W IH DH',s,'IH'
secrets,'S IY K R AH T S',s,'IY'
me,'M IY',s,'IY'
a,'AH',s,''
villain,'V IH L AH N',s,'IH'
that,'DH AE T',s,'AE'
hath,'HH AE TH',s,'AE'
a,'AH',s,''
and,'AH N D',s,''
i,'AY',s,'AY'
am,'AE M',s,'AE'
sent,'S EH N T',s,''
to,'T UW',s,'UW'
be,'B IY',s,'IY'
on,'AA N',s,'AA'
him,'HH IH M',s,'IH'
tell,'T EH L',s,''
us,'AH S',s,''
old,'OW L D',s,''
man,'M AE N',s,'AE'
shall,'SH AE L',s,'AE'
we,'W IY',s,'IY'
be,'B IY',s,'IY'
villains,'V IH L AH N Z',s,'IH'
forbear,'F ǝ R B EH R',s,''
we,'W IY',s,'IY'
the,'DH AH',s,''
sons,'S AH N Z',s,''
