y,ou;Y,UW;s; 
m,e;M,IY;s; 
b,y;B,AY;s; 
m,y;M,AY;s; 
h,a,b,i,t;HH,AE,B,AH,T;s; 
m,y;M,AY;s; 
th,u,s;DH,ɤ,S;s; 
m,y;M,AY;s; 
th,ou;DH,AW;s; 
t,o;T,UW;s; 
o,f;AH,V;s; 
e,n,g,l,a,n,d;IH,NG,G,L,AH,N,D;s; 
w,e;W,IY;s; 
d,ea,d;D,EH,D;s; 
w,e;W,IY;s; 
d,i,d;D,IH,D;s; 
b,u,t;B,AH,T;s; 
s,l,ee,p;S,L,IY,P;s; 
i,s;IH,Z;s; 
a;AH;s; 
b,e,tt,e,r;B,e,T,ə,R;s; 
th,a,n;DH,AE,N;s; 
t,e,ll;T,EH,L;s; 
h,i,m;HH,IH,M;s; 
w,e;W,IY;s; 
r,e,b,u,k,e,d;R,IH,B,Y,UW,K,T;s; 
h,i,m;HH,IH,M;s; 
a,t;AE,T;s; 
b,u,t;B,AH,T;s; 
th,a,t;DH,AE,T;s; 
w,e;W,IY;s; 
n,o,t;N,AA,T;s; 
g,oo,d;G,UH,D;s; 
t,o;T,UW;s; 
a,n;AE,N;s; 
t,i,ll;T,IH,L;s; 
i,t;IH,T;s; 
w,re;W,ER;s; 
f,u,ll;F,UH,L;s; 
w,e;W,IY;s; 
s,p,ea,k;S,P,IY,K;s; 
u,p,o,n;AH,P,AA,N;s; 
ou,r;OW,R;s; 
a,n,d;AH,N,D;s; 
ou,r;OW,R;s; 
i,s;IH,Z;s; 
e,n,g,l,a,n,d;IH,NG,G,L,AH,N,D;s; 
sh,a,ll;SH,AE,L;s; 
r,e,p,e,n,t;R,IH,P,EH,N,T;s; 
h,i,s;HH,IH,Z;s; 
f,o,ll,l,y;F,ɒ,L,ǝ,IH;s; 
s,ee;S,IY;s; 
h,i,s;HH,IH,Z;s; 
w,ea,k,n,e,ss;W,IY,K,N,AH,S;s; 
a,n,d;AH,N,D;s; 
ou,r;OW,R;s; 
b,i,d;B,IH,D;s; 
h,i,m;HH,IH,M;s; 
th,e,r,e,f,re;DH,EH,R,F,AO,R;s; 
o,f;AH,V;s; 
h,i,s;HH,IH,Z;s; 
r,a,n,s,o,m;R,AE,N,S,AH,M;s; 
m,u,s,t;M,AH,S,T;s; 
th,e;DH,AH;s; 
l,o,ss,e,s;L,AO,S,AH,Z;s; 
w,e;W,IY;s; 
th,e;DH,AH;s; 
s,u,b,j,e,c,t,s;S,AH,B,JH,IH,K,T,S;s; 
w,e;W,IY;s; 
l,o,s,t;L,AO,S,T;s; 
th,e;DH,AH;s; 
w,e;W,IY;s; 
d,i,g,e,s,t,e,d;D,AY,JH,EH,S,T,IH,D;s; 
i,n;IH,N;s; 
t,o;T,UW;s; 
h,i,s;HH,IH,Z;s; 
p,e,tt,i,n,e,ss;P,EH,T,IY,N,AH,S;s; 
u,n,d,e,r;ɤ,N,D,ǝ,R;s; 
f,o,r;F,AO,R;s; 
