my, M AY1 , s, 
lord, L AO : R D, s, 
a, AH0 , s, 
prize, P r ǝ IH Z, s, 
a, AH0 , s, 
prize, P r ǝ IH Z, s, 
here's, HH IH1 R Z , s, 
the, DH AH0 , s, 
lord, L AO : R D, s, 
saye, S EY1 , s, 
which, ʍ IH T SH, s, 
sold, S OW1 L D , s, 
the, DH AH0 , s, 
towns, T AW1 N Z , s, 
in, IH N, s, 
france, F r AW N S, s, 
he, HH IY1 , s, 
that, DH AE1 T , s, 
made, M EH: : D, s, 
us, AH1 S , s, 
pay, P EH: :, s, 
fifteens, ˈ F IH F T IY : N Z, s, 
and, AH0 N D , s, 
one, W AH1 N , s, 
shilling, SH IH1 L IH0 NG , s, 
to, T UW1 , s, 
the, DH AH0 , s, 
pound, P ǝ UH N D, s, 
the, DH AH0 , s, 
last, L AE1 S T , s, 
subsidy, S AH1 B S IH0 D IY0 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
a, AH0 , s, 
prize, P r ǝ IH Z, s, 
a, AH0 , s, 
prize, P r ǝ IH Z, s, 
here's, HH IH1 R Z , s, 
the, DH AH0 , s, 
lord, L AO : R D, s, 
saye, S EY1 , s, 
which, ʍ IH T SH, s, 
sold, S OW1 L D , s, 
the, DH AH0 , s, 
towns, T AW1 N Z , s, 
in, IH N, s, 
france, F r AW N S, s, 
he, HH IY1 , s, 
that, DH AE1 T , s, 
made, M EH: : D, s, 
us, AH1 S , s, 
pay, P EH: :, s, 
fifteens, ˈ F IH F T IY : N Z, s, 
and, AH0 N D , s, 
one, W AH1 N , s, 
shilling, SH IH1 L IH0 NG , s, 
to, T UW1 , s, 
the, DH AH0 , s, 
pound, P ǝ UH N D, s, 
the, DH AH0 , s, 
last, L AE1 S T , s, 
subsidy, S AH1 B S IH0 D IY0 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
a, AH0 , s, 
prize, P r ǝ IH Z, s, 
a, AH0 , s, 
prize, P r ǝ IH Z, s, 
here's, HH IH1 R Z , s, 
the, DH AH0 , s, 
lord, L AO : R D, s, 
saye, S EY1 , s, 
which, ʍ IH T SH, s, 
sold, S OW1 L D , s, 
the, DH AH0 , s, 
towns, T AW1 N Z , s, 
in, IH N, s, 
france, F r AW N S, s, 
he, HH IY1 , s, 
that, DH AE1 T , s, 
made, M EH: : D, s, 
us, AH1 S , s, 
pay, P EH: :, s, 
fifteens, ˈ F IH F T IY : N Z, s, 
and, AH0 N D , s, 
one, W AH1 N , s, 
shilling, SH IH1 L IH0 NG , s, 
to, T UW1 , s, 
the, DH AH0 , s, 
pound, P ǝ UH N D, s, 
the, DH AH0 , s, 
last, L AE1 S T , s, 
subsidy, S AH1 B S IH0 D IY0 , s, 
