'tis, T IH1 Z , s, 
true, T R UW1 , s, 
most, M OW : S T, s, 
worthy, W ER1 DH IY0 , s, 
the, DH AH0 , s, 
duke's, D UW1 K S , s, 
in, IH N, s, 
council, ˈ K ǝ UH N S ǝ L, s, 
and, AH0 N D , s, 
your, Y AO1 R , s, 
noble, ˈ N OW : B ǝ L, s, 
self, S EH1 L F , s, 
i, AY1 , s, 
am, AE1 M , s, 
sure, SH UW : R, s, 
is, IH1 Z , s, 
sent, S EH1 N T , s, 
for, F AO1 R , s, 
a, AH0 , s, 
messenger, ˈ M e S ǝ N D ZH ǝ R, s, 
from, F R AH1 M , s, 
the, DH AH0 , s, 
galleys, G AE1 L IY0 Z , s, 
here, HH IY1 R , s, 
is, IH1 Z , s, 
more, M AO1 R , s, 
news, N UW1 Z , s, 
'tis, T IH1 Z , s, 
true, T R UW1 , s, 
most, M OW : S T, s, 
worthy, W ER1 DH IY0 , s, 
the, DH AH0 , s, 
duke's, D UW1 K S , s, 
in, IH N, s, 
council, ˈ K ǝ UH N S ǝ L, s, 
and, AH0 N D , s, 
your, Y AO1 R , s, 
noble, ˈ N OW : B ǝ L, s, 
self, S EH1 L F , s, 
i, AY1 , s, 
am, AE1 M , s, 
sure, SH UW : R, s, 
is, IH1 Z , s, 
sent, S EH1 N T , s, 
for, F AO1 R , s, 
a, AH0 , s, 
messenger, ˈ M e S ǝ N D ZH ǝ R, s, 
from, F R AH1 M , s, 
the, DH AH0 , s, 
galleys, G AE1 L IY0 Z , s, 
here, HH IY1 R , s, 
is, IH1 Z , s, 
more, M AO1 R , s, 
news, N UW1 Z , s, 
'tis, T IH1 Z , s, 
true, T R UW1 , s, 
most, M OW : S T, s, 
worthy, W ER1 DH IY0 , s, 
the, DH AH0 , s, 
duke's, D UW1 K S , s, 
in, IH N, s, 
council, ˈ K ǝ UH N S ǝ L, s, 
and, AH0 N D , s, 
your, Y AO1 R , s, 
noble, ˈ N OW : B ǝ L, s, 
self, S EH1 L F , s, 
i, AY1 , s, 
am, AE1 M , s, 
sure, SH UW : R, s, 
is, IH1 Z , s, 
sent, S EH1 N T , s, 
for, F AO1 R , s, 
a, AH0 , s, 
messenger, ˈ M e S ǝ N D ZH ǝ R, s, 
from, F R AH1 M , s, 
the, DH AH0 , s, 
galleys, G AE1 L IY0 Z , s, 
here, HH IY1 R , s, 
is, IH1 Z , s, 
more, M AO1 R , s, 
news, N UW1 Z , s, 
