happiness,'HH AE P IY N AH S',s,'AE IY'
for,'F AO R',s,'AO'
he,'HH IY',s,'IY'
be,'B IY',s,'IY'
that,'DH AE T',s,'AE'
dims,'D IH M Z',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
this,'DH IH S',s,'IH'
torn,'T AO R N',s,'AO'
and,'AH N D',s,''
rent,'R EH N T',s,''
my,'M AY',s,'AY'
very,'V EH R IY',s,'IY'
heart,'HH AA R T',s,'AA'
i,'AY',s,'AY'
yielded,'Y IY L D AH D',s,'IY'
to,'T UW',s,'UW'
this,'DH IH S',s,'IH'
i,'AY',s,'AY'
never,'N e V ǝ R',s,''
read,'r e D',s,''
but,'B AH T',s,''
had,'HH AE D',s,'AE'
sums,'S ɤ M Z',s,''
of,'AH V',s,''
gold,'G OW L D',s,''
and,'AH N D',s,''
with,'W IH DH',s,'IH'
their,'DH EH R',s,''
and,'AH N D',s,''
our,'OW R',s,''
henry,'HH EH N R IY',s,'IY'
his,'HH IH Z',s,'IH'
to,'T UW',s,'UW'
with,'W IH DH',s,'IH'
that,'DH AE T',s,'AE'
no,'N OW',s,''
vantages,'V AE N T IH JH IH Z',s,'AE IH IH'
and,'AH N D',s,''
so,'S OW',s,''
he,'HH IY',s,'IY'
hath,'HH AE TH',s,'AE'
greatest,'G r e T ǝ S T',s,''
and,'AH N D',s,''
given,'G IH V AH N',s,'IH'
to,'T UW',s,'UW'
the,'DH AH',s,''
french,'F R EH N CH',s,''
paris,'P EH R IH S',s,'IH'
is,'IH Z',s,'IH'
lost,'L AO S T',s,'AO'
the,'DH AH',s,''
of,'AH V',s,''
stands,'S T AE N D Z',s,'AE'
on,'AA N',s,'AA'
a,'AH',s,''
concluded,'K AH N K L UW D AH D',s,'UW'
on,'AA N',s,'AA'
the,'DH AH',s,''
articles,'AA R T IH K ǝ L Z',s,'AA IH'
the,'DH AH',s,''
peers,'P IY R Z',s,'IY'
agreed,'ǝ ɡ r IY D',s,'IY'
and,'AH N D',s,''
henry,'HH EH N R IY',s,'IY'
was,'W AA Z',s,'AA'
well,'W EH L',s,''
to,'T UW',s,'UW'
dukedoms,'D Y UW K D ǝ M Z',s,'UW'
for,'F AO R',s,'AO'
a,'AH',s,''
fair,'F EH R',s,''
i,'AY',s,'AY'
cannot,'K AE N AA T',s,'AE AA'
them,'DH EH M',s,''
all,'AA L',s,'AA'
what,'W AH T',s,''
is,'IH Z',s,'IH'
to,'T UW',s,'UW'
them,'DH EH M',s,''
and,'AH N D',s,''
not,'N AA T',s,'AA'
their,'DH EH R',s,''
cheap,'CH IY P',s,'IY'
of,'AH V',s,''
their,'DH EH R',s,''
and,'AH N D',s,''
friends,'F R EH N D Z',s,''
and,'AH N D',s,''
to,'T UW',s,'UW'
still,'S T IH L',s,'IH'
lords,'L AO R D Z',s,'AO'
till,'T IH L',s,'IH'
all,'AA L',s,'AA'
be,'B IY',s,'IY'
the,'DH AH',s,''
of,'AH V',s,''
the,'DH AH',s,''
goods,'G UH D Z',s,'UH'
weeps,'W IY P S',s,'IY'
over,'OW V ǝ R',s,''
them,'DH EH M',s,''
and,'AH N D',s,''
his,'HH IH Z',s,'IH'
hapless,'HH AE P L AH S',s,'AE'
and,'AH N D',s,''
his,'HH IH Z',s,'IH'
and,'AH N D',s,''
stands,'S T AE N D Z',s,'AE'
aloof,'AH L UW F',s,'UW'
all,'AA L',s,'AA'
is,'IH Z',s,'IH'
and,'AH N D',s,''
all,'AA L',s,'AA'
is,'IH Z',s,'IH'
ready,'R EH D IY',s,'IY'
to,'T UW',s,'UW'
and,'AH N D',s,''
not,'N AA T',s,'AA'
his,'HH IH Z',s,'IH'
so,'S OW',s,''
york,'Y AO R K',s,'AO'
must,'M AH S T',s,''
sit,'S IH T',s,'IH'
and,'AH N D',s,''
fret,'F R EH T',s,''
and,'AH N D',s,''
his,'HH IH Z',s,'IH'
his,'HH IH Z',s,'IH'
lands,'L AE N D Z',s,'AE'
for,'F AO R',s,'AO'
and,'AH N D',s,''
sold,'S OW L D',s,''
methinks,'M IH TH IH NG K S',s,'IH IH'
the,'DH AH',s,''
realms,'R EH L M Z',s,''
of,'AH V',s,''
england,'IH NG G L AH N D',s,'IH'
and,'AH N D',s,''
bear,'B EH R',s,''
that,'DH AE T',s,'AE'
to,'T UW',s,'UW'
my,'M AY',s,'AY'
flesh,'F L EH SH',s,''
and,'AH N D',s,''
blood,'B L AH D',s,''
as,'AE Z',s,'AE'
did,'D IH D',s,'IH'
the,'DH AH',s,''
fatal,'F EY T AH L',s,'EY'
brand,'B R AE N D',s,'AE'
unto,'AH N T UW',s,'UW'
the,'DH AH',s,''
heart,'HH AA R T',s,'AA'
of,'AH V',s,''
and,'AH N D',s,''
both,'B OW TH',s,''
given,'G IH V AH N',s,'IH'
unto,'AH N T UW',s,'UW'
the,'DH AH',s,''
french,'F R EH N CH',s,''
cold,'K OW L D',s,''
for,'F AO R',s,'AO'
me,'M IY',s,'IY'
for,'F AO R',s,'AO'
i,'AY',s,'AY'
had,'HH AE D',s,'AE'
of,'AH V',s,''
even,'IY V IH N',s,'IY IH'
as,'AE Z',s,'AE'
i,'AY',s,'AY'
of,'AH V',s,''
fertle,'F ER T AH L',s,''
a,'AH',s,''
will,'W IH L',s,'IH'
when,'ʍ e N',s,''
york,'Y AO R K',s,'AO'
shall,'SH AE L',s,'AE'
claim,'K L EH M',s,''
his,'HH IH Z',s,'IH'
and,'AH N D',s,''
therefre,'DH EH R F AO R',s,'AO'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
the,'DH AH',s,''
parts,'P AA R T S',s,'AA'
and,'AH N D',s,''
a,'AH',s,''
of,'AH V',s,''
to,'T UW',s,'UW'
and,'AH N D',s,''
when,'ʍ e N',s,''
i,'AY',s,'AY'
claim,'K L EH M',s,''
the,'DH AH',s,''
crown,'K r ǝ UH N',s,'UH'
for,'F AO R',s,'AO'
the,'DH AH',s,''
golden,'G OW L D ǝ N',s,''
mark,'M AA R K',s,'AA'
i,'AY',s,'AY'
seek,'S IY K',s,'IY'
to,'T UW',s,'UW'
nor,'N AO R',s,'AO'
shall,'SH AE L',s,'AE'
lancaster,'L AW NG K AW S T ǝ R',s,''
usurp,'Y UW S ER P',s,'UW'
my,'M AY',s,'AY'
nor,'N AO R',s,'AO'
the,'DH AH',s,''
in,'IH N',s,'IH'
his,'HH IH Z',s,'IH'
fist,'F IH S T',s,'IH'
nor,'N AO R',s,'AO'
wear,'W EH R',s,''
the,'DH AH',s,''
upon,'AH P AA N',s,'AA'
his,'HH IH Z',s,'IH'
fits,'F IH T S',s,'IH'
not,'N AA T',s,'AA'
for,'F AO R',s,'AO'
a,'AH',s,''
crown,'K r ǝ UH N',s,'UH'
then,'DH EH N',s,''
york,'Y AO R K',s,'AO'
be,'B IY',s,'IY'
still,'S T IH L',s,'IH'
till,'T IH L',s,'IH'
do,'D OW',s,''
seve,'S ER V',s,''
watch,'W AA T SH',s,'AA'
thou,'DH AW',s,''
and,'AH N D',s,''
when,'ʍ e N',s,''
be,'B IY',s,'IY'
asleep,'AH S L IY P',s,'IY'
to,'T UW',s,'UW'
pry,'P R AY',s,'AY'
into,'IH N T UW',s,'IH UW'
the,'DH AH',s,''
secrets,'S IY K R AH T S',s,'IY'
of,'AH V',s,''
the,'DH AH',s,''
till,'T IH L',s,'IH'
henry,'HH EH N R IY',s,'IY'
in,'IH N',s,'IH'
of,'AH V',s,''
with,'W IH DH',s,'IH'
his,'HH IH Z',s,'IH'
and,'AH N D',s,''
and,'AH N D',s,''
with,'W IH DH',s,'IH'
the,'DH AH',s,''
peers,'P IY R Z',s,'IY'
be,'B IY',s,'IY'
at,'AE T',s,'AE'
then,'DH EH N',s,''
will,'W IH L',s,'IH'
i,'AY',s,'AY'
aloft,'AH L AO F T',s,'AO'
the,'DH AH',s,''
with,'W IH DH',s,'IH'
sweet,'S W IY T',s,'IY'
smell,'S M EH L',s,''
the,'DH AH',s,''
air,'EH R',s,''
shall,'SH AE L',s,'AE'
be,'B IY',s,'IY'
perfumed,'P ɐ R F Y ǝ M D',s,''
and,'AH N D',s,''
in,'IH N',s,'IH'
my,'M AY',s,'AY'
standard,'S T AW N D ǝ R D',s,''
bear,'B EH R',s,''
the,'DH AH',s,''
arms,'AA R M Z',s,'AA'
of,'AH V',s,''
york,'Y AO R K',s,'AO'
to,'T UW',s,'UW'
with,'W IH DH',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
lancaster,'L AW NG K AW S T ǝ R',s,''
and,'AH N D',s,''
perfoce,'P ER F AO R S',s,'AO'
him,'HH IH M',s,'IH'
yield,'Y IY L D',s,'IY'
the,'DH AH',s,''
crown,'K r ǝ UH N',s,'UH'
bookish,'B UH K IH SH',s,'UH IH'
hath,'HH AE TH',s,'AE'
fair,'F EH R',s,''
england,'IH NG G L AH N D',s,'IH'
down,'D ǝ UH N',s,'UH'
if,'IH F',s,'IH'
york,'Y AO R K',s,'AO'
ill,'IH L',s,'IH'
himself,'HH IH M S EH L F',s,'IH'
in,'IH N',s,'IH'
then,'DH EH N',s,''
let,'L EH T',s,''
him,'HH IH M',s,'IH'
be,'B IY',s,'IY'
the,'DH AH',s,''
tell,'T EH L',s,''
thee,'DH IY',s,'IY'
whhy,'ʍ ǝ IH',s,'IH'
i,'AY',s,'AY'
am,'AE M',s,'AE'
unmeet,'ɤ N M IY T',s,'IY'
for,'F AO R',s,'AO'
i,'AY',s,'AY'
cannot,'K AE N AA T',s,'AE AA'
thee,'DH IY',s,'IY'
in,'IH N',s,'IH'
if,'IH F',s,'IH'
i,'AY',s,'AY'
be,'B IY',s,'IY'
appointed,'P ǝ IH N T IH D',s,'IH IH'
for,'F AO R',s,'AO'
the,'DH AH',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
of,'AH V',s,''
will,'W IH L',s,'IH'
keep,'K IY P',s,'IY'
me,'M IY',s,'IY'
or,'AO R',s,'AO'
till,'T IH L',s,'IH'
be,'B IY',s,'IY'
won,'W ɤ N',s,''
into,'IH N T UW',s,'IH UW'
the,'DH AH',s,''
last,'L AE S T',s,'AE'
i,'AY',s,'AY'
on,'AA N',s,'AA'
his,'HH IH Z',s,'IH'
will,'W IH L',s,'IH'
till,'T IH L',s,'IH'
paris,'P EH R IH S',s,'IH'
was,'W AA Z',s,'AA'
and,'AH N D',s,''
lost,'L AO S T',s,'AO'
doth,'D AO TH',s,'AO'
york,'Y AO R K',s,'AO'
for,'F AO R',s,'AO'
a,'AH',s,''
dunghill,'D ɤ NG - ˌ IH L',s,'IH'
villain,'V IH L AH N',s,'IH'
and,'AH N D',s,''
for,'F AO R',s,'AO'
this,'DH IH S',s,'IH'
