sir, S ER1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
the, DH AH0 , s, 
duke, D UW1 K , s, 
of, AH1 V , s, 
buckingham, B AH1 K IH0 NG HH AE2 M , s, 
and, AH0 N D , s, 
earl, ER1 L , s, 
of, AH1 V , s, 
hertford, ˈ ɐ : R T F ǝ R D, s, 
stafford, S T AE1 F ER0 D , s, 
and, AH0 N D , s, 
northampton, N AO : R ˈ TH AW M T ǝ N, s, 
i, AY1 , s, 
arrest, ER0 EH1 S T , s, 
thee, DH IY1 , s, 
of, AH1 V , s, 
high, ǝ IH, s, 
treason, T R IY1 Z AH0 N , s, 
in, IH N, s, 
the, DH AH0 , s, 
name, N EH: : M, s, 
of, AH1 V , s, 
our, OW : R, s, 
most, M OW : S T, s, 
sovereign, ˈ S ɒ V r ǝ N, s, 
king, K IH1 NG , s, 
sir, S ER1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
the, DH AH0 , s, 
duke, D UW1 K , s, 
of, AH1 V , s, 
buckingham, B AH1 K IH0 NG HH AE2 M , s, 
and, AH0 N D , s, 
earl, ER1 L , s, 
of, AH1 V , s, 
hertford, ˈ ɐ : R T F ǝ R D, s, 
stafford, S T AE1 F ER0 D , s, 
and, AH0 N D , s, 
northampton, N AO : R ˈ TH AW M T ǝ N, s, 
i, AY1 , s, 
arrest, ER0 EH1 S T , s, 
thee, DH IY1 , s, 
of, AH1 V , s, 
high, ǝ IH, s, 
treason, T R IY1 Z AH0 N , s, 
in, IH N, s, 
the, DH AH0 , s, 
name, N EH: : M, s, 
of, AH1 V , s, 
our, OW : R, s, 
most, M OW : S T, s, 
sovereign, ˈ S ɒ V r ǝ N, s, 
king, K IH1 NG , s, 
sir, S ER1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
the, DH AH0 , s, 
duke, D UW1 K , s, 
of, AH1 V , s, 
buckingham, B AH1 K IH0 NG HH AE2 M , s, 
and, AH0 N D , s, 
earl, ER1 L , s, 
of, AH1 V , s, 
hertford, ˈ ɐ : R T F ǝ R D, s, 
stafford, S T AE1 F ER0 D , s, 
and, AH0 N D , s, 
northampton, N AO : R ˈ TH AW M T ǝ N, s, 
i, AY1 , s, 
arrest, ER0 EH1 S T , s, 
thee, DH IY1 , s, 
of, AH1 V , s, 
high, ǝ IH, s, 
treason, T R IY1 Z AH0 N , s, 
in, IH N, s, 
the, DH AH0 , s, 
name, N EH: : M, s, 
of, AH1 V , s, 
our, OW : R, s, 
most, M OW : S T, s, 
sovereign, ˈ S ɒ V r ǝ N, s, 
king, K IH1 NG , s, 
