my,'M AY', s, AY
good,'G UH D', s, UH
lord,'L AO R D', s, AO
yes,'Y IH S', s, IH
if,'IH F', s, IH
you,'Y UW', s, UW
will,'W IH L', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
no,'N OW', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
i,'AY', s, AY
am,'AE M', s, AE
you,'Y UW', s, UW
no,'N OW', s, 
of,'AH V', s, 
you,'Y UW', s, UW
kiss,'K IH S', s, IH
me,'M IY', s, IY
and,'AH N D', s, 
speak,'S P IY K', s, IY
to,'T UW', s, UW
me,'M IY', s, IY
as,'AE Z', s, AE
if,'IH F', s, IH
i,'AY', s, AY
wre,'W ER', s, 
a,'AH', s, 
baby,'B EY B IY', s, EY IY
you,'Y UW', s, UW
better,'B e T ə R', s, 
not,'N AA T', s, AA
for,'F AO R', s, AO
your,'Y AO R', s, AO
brows,'B r ə UH Z', s, UH
black,'B L AE K', s, AE
brows,'B r ə UH Z', s, UH
women,'W IH M AH N', s, IH
best,'B EH S T', s, 
so,'S OW', s, 
that,'DH AE T', s, AE
be,'B IY', s, IY
not,'N AA T', s, AA
too,'T UW', s, UW
hair,'HH EH R', s, 
but,'B AH T', s, 
in,'IH N', s, IH
a,'AH', s, 
or,'AO R', s, AO
a,'AH', s, 
with,'W IH DH', s, IH
a,'AH', s, 
pen,'P EH N', s, 
i,'AY', s, AY
it,'IH T', s, IH
out,'AW T', s, 
of,'AH V', s, 
what,'W AH T', s, 
your,'Y AO R', s, AO
a,'AH', s, 
mock,'M AA K', s, AA
i,'AY', s, AY
seen,'S IY N', s, IY
a,'AH', s, 
that,'DH AE T', s, AE
been,'B IH N', s, IH
blue,'B L UW', s, UW
but,'B AH T', s, 
not,'N AA T', s, AA
merrry,'M e r ǝ IH', s, IH
or,'AO R', s, AO
sad,'S AE D', s, AE
shall,'SH AE L', s, AE
be,'B IY', s, IY
a,'AH', s, 
sad,'S AE D', s, AE
best,'B EH S T', s, 
for,'F AO R', s, AO
i,'AY', s, AY
of,'AH V', s, 
sprites,'S P r ǝ IH T S', s, IH
and,'AH N D', s, 
goblins,'G AA B L IH N Z', s, AA IH
was,'W AA Z', s, AA
a,'AH', s, 
man,'M AE N', s, AE
dwelt,'D W EH L T', s, 
by,'B AY', s, AY
a,'AH', s, 
i,'AY', s, AY
will,'W IH L', s, IH
tell,'T EH L', s, 
it,'IH T', s, IH
softly,'S AO F T L IY', s, AO IY
crickets,'K R IH K AH T S', s, IH
shall,'SH AE L', s, AE
not,'N AA T', s, AA
it,'IH T', s, IH
