sir, S ER1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
would, W UH1 D , s, 
instantly, IH1 N S T AH0 N T L IY0 , s, 
speak, S P IY : K, s, 
with, W IH1 DH , s, 
you, Y UW1 , s, 
at, AE1 T , s, 
your, Y AO1 R , s, 
own, OW : N, s, 
house, ǝ UH Z, s, 
there, DH EH1 R , s, 
he, HH IY1 , s, 
him, HH IH1 M , s, 
sir, S ER1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
would, W UH1 D , s, 
instantly, IH1 N S T AH0 N T L IY0 , s, 
speak, S P IY : K, s, 
with, W IH1 DH , s, 
you, Y UW1 , s, 
at, AE1 T , s, 
your, Y AO1 R , s, 
own, OW : N, s, 
house, ǝ UH Z, s, 
there, DH EH1 R , s, 
he, HH IY1 , s, 
him, HH IH1 M , s, 
sir, S ER1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
would, W UH1 D , s, 
instantly, IH1 N S T AH0 N T L IY0 , s, 
speak, S P IY : K, s, 
with, W IH1 DH , s, 
you, Y UW1 , s, 
at, AE1 T , s, 
your, Y AO1 R , s, 
own, OW : N, s, 
house, ǝ UH Z, s, 
there, DH EH1 R , s, 
he, HH IY1 , s, 
him, HH IH1 M , s, 
