england,'IH NG G L AH N D',s,'IH'
had,'HH AE D',s,'AE'
a,'AH',s,''
until,'AH N T IH L',s,'IH'
his,'HH IH Z',s,'IH'
he,'HH IY',s,'IY'
had,'HH AE D',s,'AE'
to,'T UW',s,'UW'
command,'K ǝ M AW N D',s,''
his,'HH IH Z',s,'IH'
did,'D IH D',s,'IH'
men,'M EH N',s,''
with,'W IH DH',s,'IH'
his,'HH IH Z',s,'IH'
beams,'B IY M Z',s,'IY'
his,'HH IH Z',s,'IH'
arms,'AA R M Z',s,'AA'
spread,'S P R EH D',s,''
than,'DH AE N',s,'AE'
a,'AH',s,''
his,'HH IH Z',s,'IH'
with,'W IH DH',s,'IH'
and,'AH N D',s,''
back,'B AE K',s,'AE'
his,'HH IH Z',s,'IH'
enemies,'EH N AH M IY Z',s,'IY'
than,'DH AE N',s,'AE'
midday,'M IH D D EY',s,'IH EY'
sun,'S AH N',s,''
bent,'B EH N T',s,''
against,'AH G EH N S T',s,''
their,'DH EH R',s,''
faces,'F EH S IH Z',s,'IH'
what,'W AH T',s,''
i,'AY',s,'AY'
his,'HH IH Z',s,'IH'
deeds,'D IY D Z',s,'IY'
exceed,'IH K S IY D',s,'IH IY'
all,'AA L',s,'AA'
speech,'S P IY CH',s,'IY'
he,'HH IY',s,'IY'
lift,'L IH F T',s,'IH'
up,'AH P',s,''
his,'HH IH Z',s,'IH'
but,'B AH T',s,''
the,'DH AH',s,''
is,'IH Z',s,'IH'
it,'IH T',s,'IH'
had,'HH AE D',s,'AE'
not,'N AA T',s,'AA'
his,'HH IH Z',s,'IH'
of,'AH V',s,''
had,'HH AE D',s,'AE'
not,'N AA T',s,'AA'
so,'S OW',s,''
soon,'S UW N',s,'UW'
do,'D OW',s,''
you,'Y UW',s,'UW'
but,'B AH T',s,''
an,'AE N',s,'AE'
effeminte,'IH F e M N ǝ T',s,'IH'
whom,'HH UW M',s,'UW'
a,'AH',s,''
you,'Y UW',s,'UW'
not,'N AA T',s,'AA'
religion,'R IH L IH JH AH N',s,'IH IH'
for,'F AO R',s,'AO'
thou,'DH AW',s,''
the,'DH AH',s,''
flesh,'F L EH SH',s,''
and,'AH N D',s,''
the,'DH AH',s,''
year,'Y IH R',s,'IH'
to,'T UW',s,'UW'
thou,'DH AW',s,''
except,'IH K S EH P T',s,'IH'
it,'IH T',s,'IH'
be,'B IY',s,'IY'
to,'T UW',s,'UW'
against,'AH G EH N S T',s,''
foes,'F OW Z',s,''
is,'IH Z',s,'IH'
paris,'P EH R IH S',s,'IH'
lost,'L AO S T',s,'AO'
is,'IH Z',s,'IH'
roan,'R OW N',s,''
yielded,'Y IY L D AH D',s,'IY'
up,'AH P',s,''
if,'IH F',s,'IH'
henry,'HH EH N R IY',s,'IY'
wre,'W ER',s,''
to,'T UW',s,'UW'
again,'ǝ ɡ EH N',s,''
him,'HH IH M',s,'IH'
yield,'Y IY L D',s,'IY'
the,'DH AH',s,''
we,'W IY',s,'IY'
will,'W IH L',s,'IH'
not,'N AA T',s,'AA'
but,'B AH T',s,''
to,'T UW',s,'UW'
our,'OW R',s,''
if,'IH F',s,'IH'
thou,'DH AW',s,''
be,'B IY',s,'IY'
slack,'S L AE K',s,'AE'
it,'IH T',s,'IH'
out,'AW T',s,''
to,'T UW',s,'UW'
the,'DH AH',s,''
with,'W IH DH',s,'IH'
all,'AA L',s,'AA'
the,'DH AH',s,''
hate,'AW S T',s,''
i,'AY',s,'AY'
can,'K AE N',s,'AE'
to,'T UW',s,'UW'
view,'V Y UW',s,'UW'
and,'AH N D',s,''
and,'AH N D',s,''
then,'DH EH N',s,''
i,'AY',s,'AY'
will,'W IH L',s,'IH'
proclaim,'P R OW K L EY M',s,'EY'
henry,'HH EH N R IY',s,'IY'
i,'AY',s,'AY'
am,'AE M',s,'AE'
to,'T UW',s,'UW'
the,'DH AH',s,''
this,'DH IH S',s,'IH'
death,'D EH TH',s,''
i,'AY',s,'AY'
fear,'F IY R',s,'IY'
is,'IH Z',s,'IH'
conveyace,'K AH N V EY AH N S',s,'EY'
be,'B IY',s,'IY'
that,'DH AE T',s,'AE'
wait,'W EH T',s,''
not,'N AA T',s,'AA'
open,'OW P ǝ N',s,''
the,'DH AH',s,''
that,'DH AE T',s,'AE'
who,'HH UW',s,'UW'
you,'Y UW',s,'UW'
or,'AO R',s,'AO'
will,'W IH L',s,'IH'
stands,'S T AE N D Z',s,'AE'
but,'B AH T',s,''
of,'AH V',s,''
the,'DH AH',s,''
realm,'R EH L M',s,''
but,'B AH T',s,''
i,'AY',s,'AY'
break,'B R EY K',s,'EY'
up,'AH P',s,''
the,'DH AH',s,''
be,'B IY',s,'IY'
your,'Y AO R',s,'AO'
shall,'SH AE L',s,'AE'
i,'AY',s,'AY'
be,'B IY',s,'IY'
flouted,'F L AW T IH D',s,'IH'
thus,'DH ɤ S',s,''
by,'B AY',s,'AY'
dunghill,'D ɤ NG - ˌ IH L',s,'IH'
grooms,'G R UW M Z',s,'UW'
lieutenant,'L UW T EH N AH N T',s,'UW'
is,'IH Z',s,'IH'
it,'IH T',s,'IH'
you,'Y UW',s,'UW'
i,'AY',s,'AY'
open,'OW P ǝ N',s,''
the,'DH AH',s,''
that,'DH AE T',s,'AE'
enter,'e N T ǝ R',s,''
him,'HH IH M',s,'IH'
me,'M IY',s,'IY'
that,'DH AE T',s,'AE'
whom,'HH UW M',s,'UW'
henry,'HH EH N R IY',s,'IY'
our,'OW R',s,''
brook,'B R UH K',s,'UH'
thou,'DH AW',s,''
art,'AA R T',s,'AA'
no,'N OW',s,''
friend,'F R EH N D',s,''
to,'T UW',s,'UW'
god,'G AA D',s,'AA'
or,'AO R',s,'AO'
to,'T UW',s,'UW'
the,'DH AH',s,''
open,'OW P ǝ N',s,''
the,'DH AH',s,''
or,'AO R',s,'AO'
shut,'SH AH T',s,''
thee,'DH IY',s,'IY'
out,'AW T',s,''
shortly,'SH AO R T L IY',s,'AO IY'
priest,'P R IY S T',s,'IY'
dost,'D AA S T',s,'AA'
thou,'DH AW',s,''
command,'K ǝ M AW N D',s,''
me,'M IY',s,'IY'
to,'T UW',s,'UW'
be,'B IY',s,'IY'
shut,'SH AH T',s,''
out,'AW T',s,''
stand,'S T AE N D',s,'AE'
back,'B AE K',s,'AE'
thou,'DH AW',s,''
manifest,'M AE N AH F EH S T',s,'AE'
thou,'DH AW',s,''
that,'DH AE T',s,'AE'
to,'T UW',s,'UW'
our,'OW R',s,''
dead,'D EH D',s,''
lord,'L AO R D',s,'AO'
thou,'DH AW',s,''
that,'DH AE T',s,'AE'
to,'T UW',s,'UW'
sin,'S IH N',s,'IH'
canvass,'K AE N V AH S',s,'AE'
thee,'DH IY',s,'IY'
in,'IH N',s,'IH'
broad,'B R AO D',s,'AO'
if,'IH F',s,'IH'
thou,'DH AW',s,''
proceed,'P R AH S IY D',s,'IY'
in,'IH N',s,'IH'
this,'DH IH S',s,'IH'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
not,'N AA T',s,'AA'
thee,'DH IY',s,'IY'
but,'B AH T',s,''
thee,'DH IY',s,'IY'
back,'B AE K',s,'AE'
as,'AE Z',s,'AE'
a,'AH',s,''
to,'T UW',s,'UW'
carrry,'K AW r ǝ IH',s,'IH'
thee,'DH IY',s,'IY'
out,'AW T',s,''
of,'AH V',s,''
this,'DH IH S',s,'IH'
what,'W AH T',s,''
am,'AE M',s,'AE'
i,'AY',s,'AY'
and,'AH N D',s,''
bearded,'B EH R D IH D',s,'IH'
to,'T UW',s,'UW'
my,'M AY',s,'AY'
men,'M EH N',s,''
for,'F AO R',s,'AO'
all,'AA L',s,'AA'
this,'DH IH S',s,'IH'
blue,'B L UW',s,'UW'
coats,'K OW T S',s,''
to,'T UW',s,'UW'
tawny,'T AO N ǝ IH',s,'AO IH'
coats,'K OW T S',s,''
priest,'P R IY S T',s,'IY'
your,'Y AO R',s,'AO'
beard,'B EH R D',s,''
i,'AY',s,'AY'
mean,'M IY N',s,'IY'
to,'T UW',s,'UW'
tug,'T AH G',s,''
it,'IH T',s,'IH'
and,'AH N D',s,''
to,'T UW',s,'UW'
cuff,'K ɤ F',s,''
you,'Y UW',s,'UW'
under,'ɤ N D ǝ R',s,''
my,'M AY',s,'AY'
feet,'F IY T',s,'IY'
stamp,'S T AE M P',s,'AE'
in,'IH N',s,'IH'
of,'AH V',s,''
