f,r,ie,n,d,s;F,R,EH,N,D,Z;s; 
t,o;T,UW;s; UW
th,i,s;DH,IH,S;s; IH
a;AH;s; 
o,f;AH,V;s; 
h,i,m;HH,IH,M;s; IH
wh,a,t;W,AH,T;s; 
th,i,s;DH,IH,S;s; IH
a,g,ai,n;ǝ,ɡ,EH,N;s; 
t,u,sh;T,UH,SH;s; UH
t,u,sh;T,UH,SH;s; UH
n,o,t;N,AA,T;s; AA
a,pp,ea,r;ǝ,P,IY,R;s; IY
w,e,ll;W,EH,L;s; 
s,i,t;S,IH,T;s; IH
w,e;W,IY;s; IY
d,o,w,n;D,ǝ,UH,N;s; UH
a,n,d;AH,N,D;s; 
l,e,t;L,EH,T;s; 
u,s;AH,S;s; 
s,p,ea,k;S,P,IY,K;s; IY
o,f;AH,V;s; 
th,i,s;DH,IH,S;s; IH
m,o,s,t;M,OW,S,T;s; 
i,t;IH,T;s; IH
m,e;M,IY;s; IY
w,i,th;W,IH,DH;s; IH
f,ea,r;F,IY,R;s; IY
a,n,d;AH,N,D;s; 
w,o,n,d,e,r;W,ɤ,N,D,ǝ,R;s; 
wh,a,t;W,AH,T;s; 
a,r,t;AA,R,T;s; AA
th,ou;DH,AW;s; 
th,a,t;DH,AE,T;s; AE
th,i,s;DH,IH,S;s; IH
o,f;AH,V;s; 
w,i,th;W,IH,DH;s; IH
th,a,t;DH,AE,T;s; AE
f,ai,r;F,EH,R;s; 
a,n,d;AH,N,D;s; 
f,o,r,m;F,AO,R,M;s; AO
i,n;IH,N;s; IH
th,e;DH,AH;s; 
m,a,j,e,s,t,y;M,AE,JH,AH,S,T,IY;s; AE,IY
o,f;AH,V;s; 
d,e,n,m,a,r,k;D,e,N,M,AA,R,K;s; AA
d,i,d;D,IH,D;s; IH
b,y;B,AY;s; AY
h,ea,v,e,n;HH,EH,V,AH,N;s; 
i;AY;s; AY
th,ee;DH,IY;s; IY
s,p,ea,k;S,P,IY,K;s; IY
s,p,ea,k;S,P,IY,K;s; IY
s,p,ea,k;S,P,IY,K;s; IY
i;AY;s; AY
th,ee;DH,IY;s; IY
s,p,ea,k;S,P,IY,K;s; IY
m,y;M,AY;s; AY
g,o,d;G,AA,D;s; AA
i;AY;s; AY
n,o,t;N,AA,T;s; AA
th,i,s;DH,IH,S;s; IH
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
t,r,ue;T,R,UW;s; UW
o,f;AH,V;s; 
a,s;AE,Z;s; AE
th,ou;DH,AW;s; 
a,r,t;AA,R,T;s; AA
t,o;T,UW;s; UW
w,a,s;W,AA,Z;s; AA
th,e;DH,AH;s; 
v,e,r,y;V,EH,R,IY;s; IY
h,e;HH,IY;s; IY
h,a,d;HH,AE,D;s; AE
o,n;AA,N;s; AA
wh,e,n;ʍ,e,N;s; 
h,e;HH,IY;s; IY
th,e;DH,AH;s; 
s,o;S,OW;s; 
h,e;HH,IY;s; IY
wh,e,n;ʍ,e,N;s; 
i,n;IH,N;s; IH
a,n;AE,N;s; AE
a,n,g,r,y;AE,NG,G,R,IY;s; AE,IY
h,e;HH,IY;s; IY
th,e;DH,AH;s; 
o,n;AA,N;s; AA
th,e;DH,AH;s; 
i,n;IH,N;s; IH
wh,a,t;W,AH,T;s; 
t,o;T,UW;s; UW
w,o,r,k;W,AO,R,K;s; AO
i;AY;s; AY
n,o,t;N,AA,T;s; AA
b,u,t;B,AH,T;s; 
i,n;IH,N;s; IH
th,e;DH,AH;s; 
g,r,o,ss;G,r,OW,S;s; 
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
th,i,s;DH,IH,S;s; IH
e,r,u,p,t,io,n;IH,R,AH,P,SH,AH,N;s; IH
t,o;T,UW;s; UW
ou,r;OW,R;s; 
th,a,t;DH,AE,T;s; AE
c,a,n;K,AE,N;s; AE
i;AY;s; AY
a,t;AE,T;s; AE
l,ea,s,t;L,IY,S,T;s; IY
th,e;DH,AH;s; 
wh,i,s,p,e,r;ʍ,IH,S,P,ǝ,R;s; IH
g,oe,s;G,OW,Z;s; 
s,o;S,OW;s; 
ou,r;OW,R;s; 
l,a,s,t;L,AE,S,T;s; AE
e,v,e,n;IY,V,IH,N;s; IY,IH
b,u,t;B,AH,T;s; 
t,o;T,UW;s; UW
u,s;AH,S;s; 
w,a,s;W,AA,Z;s; AA
a,s;AE,Z;s; AE
y,ou;Y,UW;s; UW
b,y;B,AY;s; AY
o,f;AH,V;s; 
o,n;AA,N;s; AA
b,y;B,AY;s; AY
a;AH;s; 
m,o,s,t;M,OW,S,T;s; 
t,o;T,UW;s; UW
th,e;DH,AH;s; 
c,o,m,b,a,t;K,AA,M,B,AE,T;s; AA,AE
i,n;IH,N;s; IH
ou,r;OW,R;s; 
f,o,r;F,AO,R;s; AO
s,o;S,OW;s; 
th,i,s;DH,IH,S;s; IH
o,f;AH,V;s; 
ou,r;OW,R;s; 
h,i,m;HH,IH,M;s; IH
d,i,d;D,IH,D;s; IH
th,i,s;DH,IH,S;s; IH
wh,o;HH,UW;s; UW
b,y;B,AY;s; AY
a;AH;s; 
c,o,m,p,a,c,t;K,ǝ,M,P,AW,K,T;s; 
w,e,ll;W,EH,L;s; 
r,a,t,i,f,ie,d;R,AE,T,AH,F,AY,D;s; AE,AY
b,y;B,AY;s; AY
a,n,d;AH,N,D;s; 
h,e,r,a,l,d,r,y;e,r,ǝ,L,D,r,ǝ,IH;s; IH
d,i,d;D,IH,D;s; IH
f,o,r,f,ei,t;F,AO,R,F,IH,T;s; AO,IH
w,i,th;W,IH,DH;s; IH
h,i,s;HH,IH,Z;s; IH
a,ll;AA,L;s; AA
h,i,s;HH,IH,Z;s; IH
l,a,n,d,s;L,AE,N,D,Z;s; AE
h,e;HH,IY;s; IY
s,t,oo,d;S,T,UH,D;s; UH
o,f;AH,V;s; 
t,o;T,UW;s; UW
th,e;DH,AH;s; 
a,g,ai,n,s,t;AH,G,EH,N,S,T;s; 
th,e;DH,AH;s; 
a;AH;s; 
c,o,m,p,e,t,e,n,t;K,AA,M,P,AH,T,IH,N,T;s; AA,IH
w,a,s;W,AA,Z;s; AA
b,y;B,AY;s; AY
ou,r;OW,R;s; 
h,a,d;HH,AE,D;s; AE
r,e,t,u,r,n,e,d;r,IH,T,ɐ,R,N,IH,D;s; IH,IH
t,o;T,UW;s; UW
th,e;DH,AH;s; 
o,f;AH,V;s; 
h,a,d;HH,AE,D;s; AE
h,e;HH,IY;s; IY
b,ee,n;B,IH,N;s; IH
a,s;AE,Z;s; AE
b,y;B,AY;s; AY
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
h,i,s;HH,IH,Z;s; IH
f,e,ll;F,EH,L;s; 
t,o;T,UW;s; UW
o,f;AH,V;s; 
h,o,t;HH,AA,T;s; AA
a,n,d;AH,N,D;s; 
f,u,ll;F,UH,L;s; UH
h,a,th;HH,AE,TH;s; AE
i,n;IH,N;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
a,n,d;AH,N,D;s; 
u,p;AH,P;s; 
a;AH;s; 
l,i,s,t;L,IH,S,T;s; IH
o,f;AH,V;s; 
f,o,r;F,AO,R;s; AO
f,oo,d;F,UW,D;s; UW
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
e,n,t,e,r,p,r,se;EH,N,T,ER,P,R,AY,Z;s; AY
th,a,t;DH,AE,T;s; AE
h,a,th;HH,AE,TH;s; AE
a;AH;s; 
s,t,o,m,a,ch;S,T,AH,M,AH,K;s; 
i,n;IH,N;s; IH
i,s;IH,Z;s; IH
n,o;N,OW;s; 
a,s;AE,Z;s; AE
i,t;IH,T;s; IH
d,o,th;D,AO,TH;s; AO
