my,'M AY', s, AY
this,'DH IH S', s, IH
hate,'AW S T', s, 
was,'W AA Z', s, AA
hot,'HH AA T', s, AA
in,'IH N', s, IH
and,'AH N D', s, 
limits,'L IH M AH T S', s, IH
of,'AH V', s, 
the,'DH AH', s, 
set,'S EH T', s, 
down,'D ǝ UH N', s, UH
but,'B AH T', s, 
when,'ʍ e N', s, 
all,'AA L', s, AA
a,'AH', s, 
post,'P OW S T', s, 
from,'F R AH M', s, 
loaden,'L OW D ǝ N', s, 
with,'W IH DH', s, IH
heavy,'e V ǝ IH', s, IH
worst,'W AO R S T', s, AO
was,'W AA Z', s, AA
that,'DH AE T', s, AE
the,'DH AH', s, 
mortimer,'M AO R T IH M ǝ R', s, AO IH
the,'DH AH', s, 
men,'M EH N', s, 
of,'AH V', s, 
to,'T UW', s, UW
against,'AH G EH N S T', s, 
the,'DH AH', s, 
irregular,'IH r e G ǝ L ǝ R', s, IH
and,'AH N D', s, 
was,'W AA Z', s, AA
by,'B AY', s, AY
the,'DH AH', s, 
of,'AH V', s, 
that,'DH AE T', s, AE
taken,'T EY K AH N', s, EY
a,'AH', s, 
of,'AH V', s, 
his,'HH IH Z', s, IH
upon,'AH P AA N', s, AA
dead,'D EH D', s, 
was,'W AA Z', s, AA
by,'B AY', s, AY
as,'AE Z', s, AE
not,'N AA T', s, AA
be,'B IY', s, IY
or,'AO R', s, AO
spoken,'S P IY K ǝ N', s, IY
of,'AH V', s, 
this,'DH IH S', s, IH
with,'W IH DH', s, IH
did,'D IH D', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
for,'F AO R', s, AO
uneven,'AH N IY V AH N', s, IY
and,'AH N D', s, 
from,'F R AH M', s, 
the,'DH AH', s, 
north,'N AO R TH', s, AO
and,'AH N D', s, 
thus,'DH ɤ S', s, 
it,'IH T', s, IH
did,'D IH D', s, IH
import,'IH M P AO R T', s, IH AO
on,'AA N', s, AA
the,'DH AH', s, 
gallant,'G AE L AH N T', s, AE
and,'AH N D', s, 
that,'DH AE T', s, AE
and,'AH N D', s, 
at,'AE T', s, AE
met,'M EH T', s, 
did,'D IH D', s, IH
spend,'S P EH N D', s, 
a,'AH', s, 
sad,'S AE D', s, AE
and,'AH N D', s, 
bloody,'B L AH D IY', s, IY
as,'AE Z', s, AE
by,'B AY', s, AY
of,'AH V', s, 
their,'DH EH R', s, 
and,'AH N D', s, 
of,'AH V', s, 
likelihood,'L ǝ IH K L IH ˌ UH D', s, IH IH UH
the,'DH AH', s, 
was,'W AA Z', s, AA
told,'T OW L D', s, 
for,'F AO R', s, AO
he,'HH IY', s, IY
that,'DH AE T', s, AE
them,'DH EH M', s, 
in,'IH N', s, IH
the,'DH AH', s, 
very,'V EH R IY', s, IY
and,'AH N D', s, 
of,'AH V', s, 
their,'DH EH R', s, 
did,'D IH D', s, IH
of,'AH V', s, 
the,'DH AH', s, 
in,'IH N', s, IH
faith,'F EY TH', s, EY
it,'IH T', s, IH
is,'IH Z', s, IH
a,'AH', s, 
for,'F AO R', s, AO
a,'AH', s, 
to,'T UW', s, UW
boast,'B OW S T', s, 
of,'AH V', s, 
this,'DH IH S', s, IH
is,'IH Z', s, IH
his,'HH IH Z', s, IH
teaching,'T IY T SH IH N', s, IY IH
this,'DH IH S', s, IH
is,'IH Z', s, IH
malevolent,'ǝ L e V ǝ ˌ L e N T', s, 
to,'T UW', s, UW
you,'Y UW', s, UW
in,'IH N', s, IH
all,'AA L', s, AA
aspects,'ǝ S P e K T S', s, 
him,'HH IH M', s, IH
himself,'HH IH M S EH L F', s, IH
and,'AH N D', s, 
up,'AH P', s, 
the,'DH AH', s, 
crest,'K R EH S T', s, 
of,'AH V', s, 
youth,'Y UW TH', s, UW
against,'AH G EH N S T', s, 
your,'Y AO R', s, AO
dignity,'D IH G N AH T IY', s, IH IY
i,'AY', s, AY
will,'W IH L', s, IH
my,'M AY', s, AY
faith,'F EY TH', s, EY
than,'DH AE N', s, AE
that,'DH AE T', s, AE
i,'AY', s, AY
wre,'W ER', s, 
and,'AH N D', s, 
you,'Y UW', s, UW
too,'T UW', s, UW
but,'B AH T', s, 
my,'M AY', s, AY
the,'DH AH', s, 
i,'AY', s, AY
can,'K AE N', s, AE
tell,'T EH L', s, 
you,'Y UW', s, UW
looks,'L UH K S', s, UH
for,'F AO R', s, AO
us,'AH S', s, 
all,'AA L', s, AA
we,'W IY', s, IY
must,'M AH S T', s, 
all,'AA L', s, AA
but,'B AH T', s, 
methinks,'M IH TH IH NG K S', s, IH IH
poor,'P UH R', s, UH
and,'AH N D', s, 
too,'T UW', s, UW
he,'HH IY', s, IY
is,'IH Z', s, IH
i,'AY', s, AY
fear,'F IY R', s, IY
we,'W IY', s, IY
shall,'SH AE L', s, AE
too,'T UW', s, UW
my,'M AY', s, AY
lord,'L AO R D', s, AO
lead,'L EH D', s, 
you,'Y UW', s, UW
to,'T UW', s, UW
your,'Y AO R', s, AO
tent,'T EH N T', s, 
