royal, ˈ r ǝ IH ǝ AA L, s, 
commanders, K ǝ ˈ M AW N D ǝ R Z, s, 
be, B IY1 , s, 
in, IH N, s, 
readiness, R EH1 D IY0 N AH0 S , s, 
for, F AO1 R , s, 
with, W IH1 DH , s, 
a, AH0 , s, 
band, B AE1 N D , s, 
of, AH1 V , s, 
thirty, ˈ TH ɐ : R T ǝ IH, s, 
thousand, ˈ TH ǝ UH Z ǝ N D, s, 
men, M EH1 N , s, 
comes, K ɤ M Z, s, 
warwick, ˈ W ɒ r IH K, s, 
backing, ˈ B AW K IH N, s, 
of, AH1 V , s, 
the, DH AH0 , s, 
duke, D UW1 K , s, 
of, AH1 V , s, 
york, Y AO1 R K , s, 
and, AH0 N D , s, 
in, IH N, s, 
the, DH AH0 , s, 
towns, T AW1 N Z , s, 
as, AE1 Z , s, 
they, DH EY1 , s, 
do, D OW :, s, 
march, M AA : R T SH, s, 
along, AH0 L AO1 NG , s, 
proclaims, P R OW0 K L EY1 M Z , s, 
him, HH IH1 M , s, 
king, K IH1 NG , s, 
and, AH0 N D , s, 
many, ˈ M AW N ǝ IH, s, 
fly, F L ǝ IH, s, 
to, T UW1 , s, 
him, HH IH1 M , s, 
your, Y AO1 R , s, 
battle, B AE1 T AH0 L , s, 
for, F AO1 R , s, 
they, DH EY1 , s, 
are, AA1 R , s, 
at, AE1 T , s, 
hand, AW N D, s, 
royal, ˈ r ǝ IH ǝ AA L, s, 
commanders, K ǝ ˈ M AW N D ǝ R Z, s, 
be, B IY1 , s, 
in, IH N, s, 
readiness, R EH1 D IY0 N AH0 S , s, 
for, F AO1 R , s, 
with, W IH1 DH , s, 
a, AH0 , s, 
band, B AE1 N D , s, 
of, AH1 V , s, 
thirty, ˈ TH ɐ : R T ǝ IH, s, 
thousand, ˈ TH ǝ UH Z ǝ N D, s, 
men, M EH1 N , s, 
comes, K ɤ M Z, s, 
warwick, ˈ W ɒ r IH K, s, 
backing, ˈ B AW K IH N, s, 
of, AH1 V , s, 
the, DH AH0 , s, 
duke, D UW1 K , s, 
of, AH1 V , s, 
york, Y AO1 R K , s, 
and, AH0 N D , s, 
in, IH N, s, 
the, DH AH0 , s, 
towns, T AW1 N Z , s, 
as, AE1 Z , s, 
they, DH EY1 , s, 
do, D OW :, s, 
march, M AA : R T SH, s, 
along, AH0 L AO1 NG , s, 
proclaims, P R OW0 K L EY1 M Z , s, 
him, HH IH1 M , s, 
king, K IH1 NG , s, 
and, AH0 N D , s, 
many, ˈ M AW N ǝ IH, s, 
fly, F L ǝ IH, s, 
to, T UW1 , s, 
him, HH IH1 M , s, 
your, Y AO1 R , s, 
battle, B AE1 T AH0 L , s, 
for, F AO1 R , s, 
they, DH EY1 , s, 
are, AA1 R , s, 
at, AE1 T , s, 
hand, AW N D, s, 
royal, ˈ r ǝ IH ǝ AA L, s, 
commanders, K ǝ ˈ M AW N D ǝ R Z, s, 
be, B IY1 , s, 
in, IH N, s, 
readiness, R EH1 D IY0 N AH0 S , s, 
for, F AO1 R , s, 
with, W IH1 DH , s, 
a, AH0 , s, 
band, B AE1 N D , s, 
of, AH1 V , s, 
thirty, ˈ TH ɐ : R T ǝ IH, s, 
thousand, ˈ TH ǝ UH Z ǝ N D, s, 
men, M EH1 N , s, 
comes, K ɤ M Z, s, 
warwick, ˈ W ɒ r IH K, s, 
backing, ˈ B AW K IH N, s, 
of, AH1 V , s, 
the, DH AH0 , s, 
duke, D UW1 K , s, 
of, AH1 V , s, 
york, Y AO1 R K , s, 
and, AH0 N D , s, 
in, IH N, s, 
the, DH AH0 , s, 
towns, T AW1 N Z , s, 
as, AE1 Z , s, 
they, DH EY1 , s, 
do, D OW :, s, 
march, M AA : R T SH, s, 
along, AH0 L AO1 NG , s, 
proclaims, P R OW0 K L EY1 M Z , s, 
him, HH IH1 M , s, 
king, K IH1 NG , s, 
and, AH0 N D , s, 
many, ˈ M AW N ǝ IH, s, 
fly, F L ǝ IH, s, 
to, T UW1 , s, 
him, HH IH1 M , s, 
your, Y AO1 R , s, 
battle, B AE1 T AH0 L , s, 
for, F AO1 R , s, 
they, DH EY1 , s, 
are, AA1 R , s, 
at, AE1 T , s, 
hand, AW N D, s, 
