henry, HH EH1 N R IY0 , s, 
king, K IH1 NG , s, 
of, AH1 V , s, 
england, IH1 NG G L AH0 N D , s, 
come, K ɤ M, s, 
into, IH1 N T UW0 , s, 
the, DH AH0 , s, 
court, K AO : R T, s, 
katherine, K AE1 TH ER0 IH0 N , s, 
queen, K W IY1 N , s, 
of, AH1 V , s, 
england, IH1 NG G L AH0 N D , s, 
come, K ɤ M, s, 
into, IH1 N T UW0 , s, 
the, DH AH0 , s, 
court, K AO : R T, s, 
katherine, K AE1 TH ER0 IH0 N , s, 
queen, K W IY1 N , s, 
of, AH1 V , s, 
england, IH1 NG G L AH0 N D , s, 
come, K ɤ M, s, 
into, IH1 N T UW0 , s, 
the, DH AH0 , s, 
court, K AO : R T, s, 
henry, HH EH1 N R IY0 , s, 
king, K IH1 NG , s, 
of, AH1 V , s, 
england, IH1 NG G L AH0 N D , s, 
come, K ɤ M, s, 
into, IH0 N T UW1 , s, 
the, DH AH0 , s, 
court, K AO : R T, s, 
katherine, K AE1 TH ER0 IH0 N , s, 
queen, K W IY1 N , s, 
of, AH1 V , s, 
england, IH1 NG G L AH0 N D , s, 
come, K ɤ M, s, 
into, IH0 N T UW1 , s, 
the, DH AH0 , s, 
court, K AO : R T, s, 
katherine, K AE1 TH ER0 IH0 N , s, 
queen, K W IY1 N , s, 
of, AH1 V , s, 
england, IH1 NG G L AH0 N D , s, 
come, K ɤ M, s, 
into, IH0 N T UW1 , s, 
the, DH AH0 , s, 
court, K AO : R T, s, 
henry, HH EH1 N R IY0 , s, 
king, K IH1 NG , s, 
of, AH1 V , s, 
england, IH1 NG G L AH0 N D , s, 
come, K ɤ M, s, 
into, IH0 N T UW1 , s, 
the, DH AH0 , s, 
court, K AO : R T, s, 
katherine, K AE1 TH ER0 IH0 N , s, 
queen, K W IY1 N , s, 
of, AH1 V , s, 
england, IH1 NG G L AH0 N D , s, 
come, K ɤ M, s, 
into, IH0 N T UW1 , s, 
the, DH AH0 , s, 
court, K AO : R T, s, 
katherine, K AE1 TH ER0 IH0 N , s, 
queen, K W IY1 N , s, 
of, AH1 V , s, 
england, IH1 NG G L AH0 N D , s, 
come, K ɤ M, s, 
into, IH0 N T UW1 , s, 
the, DH AH0 , s, 
court, K AO : R T, s, 
