uncles,'AH NG K AH L Z',s,''
of,'AH V',s,''
and,'AH N D',s,''
of,'AH V',s,''
the,'DH AH',s,''
of,'AH V',s,''
our,'OW R',s,''
english,'IH NG G L IH SH',s,'IH IH'
i,'AY',s,'AY'
prevail,'P R IH V EY L',s,'IH EY'
if,'IH F',s,'IH'
prevail,'P R IH V EY L',s,'IH EY'
to,'T UW',s,'UW'
join,'JH OY N',s,''
your,'Y AO R',s,'AO'
hearts,'HH AA R T S',s,'AA'
in,'IH N',s,'IH'
and,'AH N D',s,''
amity,'AE M IH T IY',s,'AE IH IY'
o,'OW',s,''
what,'W AH T',s,''
a,'AH',s,''
is,'IH Z',s,'IH'
it,'IH T',s,'IH'
to,'T UW',s,'UW'
our,'OW R',s,''
crown,'K r ǝ UH N',s,'UH'
that,'DH AE T',s,'AE'
peers,'P IY R Z',s,'IY'
as,'AE Z',s,'AE'
you,'Y UW',s,'UW'
me,'M IY',s,'IY'
lords,'L AO R D Z',s,'AO'
my,'M AY',s,'AY'
tender,'T e N D ǝ R',s,''
years,'Y IH R Z',s,'IH'
can,'K AE N',s,'AE'
tell,'T EH L',s,''
civil,'S IH V AH L',s,'IH'
dissension,'D IH S EH N SH AH N',s,'IH'
is,'IH Z',s,'IH'
a,'AH',s,''
that,'DH AE T',s,'AE'
the,'DH AH',s,''
bowels,'B ə UH ə L Z',s,'UH'
of,'AH V',s,''
the,'DH AH',s,''
commonwealth,'K AA M AH N W EH L TH',s,'AA'
what,'W AH T',s,''
's,'EH S',s,''
this,'DH IH S',s,'IH'
we,'W IY',s,'IY'
you,'Y UW',s,'UW'
on,'AA N',s,'AA'
to,'T UW',s,'UW'
ourself,'AW ER S EH L F',s,''
to,'T UW',s,'UW'
your,'Y AO R',s,'AO'
and,'AH N D',s,''
keep,'K IY P',s,'IY'
the,'DH AH',s,''
this,'DH IH S',s,'IH'
o,'OW',s,''
this,'DH IH S',s,'IH'
doth,'D AO TH',s,'AO'
my,'M AY',s,'AY'
soul,'S OW L',s,''
can,'K AE N',s,'AE'
you,'Y UW',s,'UW'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
of,'AH V',s,''
behold,'B IH HH OW L D',s,'IH'
my,'M AY',s,'AY'
and,'AH N D',s,''
tears,'T EH R Z',s,''
and,'AH N D',s,''
will,'W IH L',s,'IH'
not,'N AA T',s,'AA'
relent,'R IH L EH N T',s,'IH'
who,'HH UW',s,'UW'
be,'B IY',s,'IY'
if,'IH F',s,'IH'
you,'Y UW',s,'UW'
be,'B IY',s,'IY'
not,'N AA T',s,'AA'
or,'AO R',s,'AO'
who,'HH UW',s,'UW'
study,'S T AH D IY',s,'IY'
to,'T UW',s,'UW'
prefer,'P r IH F ɐ R',s,'IH'
a,'AH',s,''
if,'IH F',s,'IH'
holy,'HH OW L IY',s,'IY'
in,'IH N',s,'IH'
i,'AY',s,'AY'
you,'Y UW',s,'UW'
preach,'P R IY CH',s,'IY'
that,'DH AE T',s,'AE'
was,'W AA Z',s,'AA'
a,'AH',s,''
great,'G r e T',s,''
and,'AH N D',s,''
grievous,'G R IY V AH S',s,'IY'
sin,'S IH N',s,'IH'
and,'AH N D',s,''
will,'W IH L',s,'IH'
not,'N AA T',s,'AA'
you,'Y UW',s,'UW'
maintain,'M EY N T EY N',s,'EY EY'
the,'DH AH',s,''
you,'Y UW',s,'UW'
teach,'T IY CH',s,'IY'
but,'B AH T',s,''
a,'AH',s,''
chief,'CH IY F',s,'IY'
offender,'ǝ F e N D ǝ R',s,''
in,'IH N',s,'IH'
the,'DH AH',s,''
o,'OW',s,''
of,'AH V',s,''
am,'AE M',s,'AE'
i,'AY',s,'AY'
by,'B AY',s,'AY'
this,'DH IH S',s,'IH'
contract,'K ǝ N T r AW K T',s,''
my,'M AY',s,'AY'
masters,'M AW S T ǝ R Z',s,''
us,'AH S',s,''
no,'N OW',s,''
but,'B AH T',s,''
join,'JH OY N',s,''
in,'IH N',s,'IH'
friendship,'F R EH N D SH IH P',s,'IH'
as,'AE Z',s,'AE'
your,'Y AO R',s,'AO'
lords,'L AO R D Z',s,'AO'
and,'AH N D',s,''
wre,'W ER',s,''
of,'AH V',s,''
therefre,'DH EH R F AO R',s,'AO'
my,'M AY',s,'AY'
lords,'L AO R D Z',s,'AO'
our,'OW R',s,''
pleasre,'P L EH ZH ER',s,''
is,'IH Z',s,'IH'
that,'DH AE T',s,'AE'
be,'B IY',s,'IY'
to,'T UW',s,'UW'
his,'HH IH Z',s,'IH'
blood,'B L AH D',s,''
if,'IH F',s,'IH'
will,'W IH L',s,'IH'
be,'B IY',s,'IY'
true,'T R UW',s,'UW'
not,'N AA T',s,'AA'
that,'DH AE T',s,'AE'
but,'B AH T',s,''
all,'AA L',s,'AA'
the,'DH AH',s,''
i,'AY',s,'AY'
that,'DH AE T',s,'AE'
doth,'D AO TH',s,'AO'
unto,'AH N T UW',s,'UW'
the,'DH AH',s,''
of,'AH V',s,''
york,'Y AO R K',s,'AO'
from,'F R AH M',s,''
you,'Y UW',s,'UW'
by,'B AY',s,'AY'
descent,'D IH S EH N T',s,'IH'
stoop,'S T UW P',s,'UW'
then,'DH EH N',s,''
and,'AH N D',s,''
set,'S EH T',s,''
your,'Y AO R',s,'AO'
against,'AH G EH N S T',s,''
my,'M AY',s,'AY'
foot,'F UH T',s,'UH'
and,'AH N D',s,''
in,'IH N',s,'IH'
of,'AH V',s,''
that,'DH AE T',s,'AE'
duty,'D UW T IY',s,'UW IY'
i,'AY',s,'AY'
girt,'G ɐ R T',s,''
thee,'DH IY',s,'IY'
with,'W IH DH',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
york,'Y AO R K',s,'AO'
a,'AH',s,''
true,'T R UW',s,'UW'
and,'AH N D',s,''
princely,'P r IH N S L ǝ IH',s,'IH IH'
of,'AH V',s,''
york,'Y AO R K',s,'AO'
when,'ʍ e N',s,''
the,'DH AH',s,''
henry,'HH EH N R IY',s,'IY'
goes,'G OW Z',s,''
for,'F AO R',s,'AO'
friendly,'F r e N L ǝ IH',s,'IH'
cuts,'K ɤ T S',s,''
off,'AO F',s,'AO'
foes,'F OW Z',s,''
is,'IH Z',s,'IH'
this,'DH IH S',s,'IH'
the,'DH AH',s,''
lord,'L AO R D',s,'AO'
talbot,'T AE L B AH T',s,'AE'
that,'DH AE T',s,'AE'
hath,'HH AE TH',s,'AE'
so,'S OW',s,''
been,'B IH N',s,'IH'
in,'IH N',s,'IH'
captain,'K AE P T AH N',s,'AE'
and,'AH N D',s,''
lord,'L AO R D',s,'AO'
when,'ʍ e N',s,''
i,'AY',s,'AY'
was,'W AA Z',s,'AA'
yet,'Y EH T',s,''
i,'AY',s,'AY'
am,'AE M',s,'AE'
not,'N AA T',s,'AA'
old,'OW L D',s,''
i,'AY',s,'AY'
do,'D OW',s,''
my,'M AY',s,'AY'
said,'S EH D',s,''
a,'AH',s,''
never,'N e V ǝ R',s,''
handled,'HH AE N D AH L D',s,'AE'
we,'W IY',s,'IY'
wre,'W ER',s,''
of,'AH V',s,''
your,'Y AO R',s,'AO'
truth,'T R UW TH',s,'UW'
your,'Y AO R',s,'AO'
and,'AH N D',s,''
your,'Y AO R',s,'AO'
in,'IH N',s,'IH'
war,'W AO R',s,'AO'
yet,'Y EH T',s,''
never,'N e V ǝ R',s,''
you,'Y UW',s,'UW'
tasted,'T EY S T AH D',s,'EY'
our,'OW R',s,''
reward,'r IH W AA R D',s,'IH AA'
or,'AO R',s,'AO'
been,'B IH N',s,'IH'
with,'W IH DH',s,'IH'
so,'S OW',s,''
as,'AE Z',s,'AE'
thanks,'TH AE NG K S',s,'AE'
till,'T IH L',s,'IH'
we,'W IY',s,'IY'
never,'N e V ǝ R',s,''
your,'Y AO R',s,'AO'
therefre,'DH EH R F AO R',s,'AO'
stand,'S T AE N D',s,'AE'
up,'AH P',s,''
and,'AH N D',s,''
for,'F AO R',s,'AO'
good,'G UH D',s,'UH'
deserts,'D IH Z ɐ R T S',s,'IH'
we,'W IY',s,'IY'
you,'Y UW',s,'UW'
of,'AH V',s,''
