wh,h,y;ʍ,ǝ,IH;s; IH
s,o;S,OW;s; 
i;AY;s; AY
a;AH;s; 
g,oo,d;G,UH,D;s; UH
w,o,r,k;W,AO,R,K;s; AO
y,ou;Y,UW;s; UW
p,ee,r,s;P,IY,R,Z;s; IY
th,i,s;DH,IH,S;s; IH
i;AY;s; AY
e,v,e,r,y;e,V,r,ǝ,IH;s; IH
a,n;AE,N;s; AE
f,r,o,m;F,R,AH,M;s; 
m,y;M,AY;s; AY
r,e,d,ee,m,e,r;r,IH,D,IY,M,ǝ,R;s; IH,IY
t,o;T,UW;s; UW
r,e,d,ee,m;R,IH,D,IY,M;s; IH,IY
m,e;M,IY;s; IY
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
m,y;M,AY;s; AY
s,ou,l;S,OW,L;s; 
sh,a,ll;SH,AE,L;s; AE
p,a,r,t;P,AA,R,T;s; AA
t,o;T,UW;s; UW
h,ea,v,e,n;HH,EH,V,AH,N;s; 
i;AY;s; AY
m,y;M,AY;s; AY
f,r,ie,n,d,s;F,R,EH,N,D,Z;s; 
a,t;AE,T;s; AE
o,n;AA,N;s; AA
r,i,v,e,r,s;r,IH,V,ǝ,R,Z;s; IH
a,n,d;AH,N,D;s; 
ea,ch;IY,CH;s; IY
n,o,t;N,AA,T;s; AA
y,ou,r;Y,AO,R;s; AO
s,w,ea,r;S,W,EH,R;s; 
y,ou,r;Y,AO,R;s; AO
y,ou;Y,UW;s; UW
n,o,t;N,AA,T;s; AA
y,ou,r;Y,AO,R;s; AO
l,e,s,t;L,EH,S,T;s; 
h,e;HH,IY;s; IY
th,a,t;DH,AE,T;s; AE
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
c,o,n,f,ou,n,d;K,AA,N,F,AW,N,D;s; AA
y,ou,r;Y,AO,R;s; AO
h,i,dd,e,n;HH,IH,D,AH,N;s; IH
a,n,d;AH,N,D;s; 
a,w,a,r,d;AH,W,AO,R,D;s; AO
ei,th,e,r;EH,DH,ǝ,R;s; 
o,f;AH,V;s; 
y,ou;Y,UW;s; UW
t,o;T,UW;s; UW
b,e;B,IY;s; IY
th,e;DH,AH;s; 
e,n,d;EH,N,D;s; 
m,a,d,a,m;M,AE,D,AH,M;s; AE
i,s;IH,Z;s; IH
n,o,t;N,AA,T;s; AA
f,r,o,m;F,R,AH,M;s; 
th,i,s;DH,IH,S;s; IH
n,o,r;N,AO,R;s; AO
y,ou;Y,UW;s; UW
s,o,n;S,AO,̃;s; AO
n,o,r;N,AO,R;s; AO
y,ou;Y,UW;s; UW
y,ou;Y,UW;s; UW
b,ee,n;B,IH,N;s; IH
a,g,ai,n,s,t;AH,G,EH,N,S,T;s; 
th,e;DH,AH;s; 
l,o,r,d;L,AO,R,D;s; AO
l,e,t;L,EH,T;s; 
h,i,m;HH,IH,M;s; IH
k,i,ss;K,IH,S;s; IH
y,ou,r;Y,AO,R;s; AO
a,n,d;AH,N,D;s; 
wh,a,t;W,AH,T;s; 
y,ou;Y,UW;s; UW
d,o;D,OW;s; 
