and, AH0 N D , s, 
so, S OW :, s, 
will, W IH1 L , s, 
i, AY1 , s, 
and, AH0 N D , s, 
write, R AY1 T , s, 
home, OW : M, s, 
for, F AO1 R , s, 
it, IH1 T , s, 
straight, EH: :, s, 
and, AH0 N D , s, 
so, S OW :, s, 
will, W IH1 L , s, 
i, AY1 , s, 
and, AH0 N D , s, 
write, R AY1 T , s, 
home, OW : M, s, 
for, F AO1 R , s, 
it, IH1 T , s, 
straight, EH: :, s, 
and, AH0 N D , s, 
so, S OW :, s, 
will, W IH1 L , s, 
i, AY1 , s, 
and, AH0 N D , s, 
write, R AY1 T , s, 
home, OW : M, s, 
for, F AO1 R , s, 
it, IH1 T , s, 
straight, EH: :, s, 
