james,'D ZH EH M S', s, 
and,'AH N D', s, 
your,'Y AO R', s, AO
most,'M OW S T', s, 
subject,'S AH B JH EH K T', s, 
me,'M IY', s, IY
my,'M AY', s, AY
lord,'L AO R D', s, AO
you,'Y UW', s, UW
but,'B AH T', s, 
i,'AY', s, AY
had,'HH AE D', s, AE
kill,'K IH L', s, IH
enemies,'EH N AH M IY Z', s, IY
let,'L EH T', s, 
me,'M IY', s, IY
open,'OW P ǝ N', s, 
means,'M IY N Z', s, IY
to,'T UW', s, UW
to,'T UW', s, UW
them,'DH EH M', s, 
and,'AH N D', s, 
soon,'S UW N', s, UW
rid,'R IH D', s, IH
you,'Y UW', s, UW
from,'F R AH M', s, 
the,'DH AH', s, 
fear,'F IY R', s, IY
of,'AH V', s, 
them,'DH EH M', s, 
i,'AY', s, AY
will,'W IH L', s, IH
it,'IH T', s, IH
the,'DH AH', s, 
and,'AH N D', s, 
bloody,'B L AH D IY', s, IY
act,'AE K T', s, AE
is,'IH Z', s, IH
the,'DH AH', s, 
most,'M OW S T', s, 
arch,'AA R CH', s, AA
deed,'D IY D', s, IY
of,'AH V', s, 
that,'DH AE T', s, AE
yet,'Y EH T', s, 
this,'DH IH S', s, IH
land,'L AE N D', s, AE
was,'W AA Z', s, AA
guilty,'G IH L T IY', s, IH IY
of,'AH V', s, 
and,'AH N D', s, 
forrest,'F AO R AH S T', s, AO
who,'HH UW', s, UW
i,'AY', s, AY
did,'D IH D', s, IH
suborn,'S ǝ B AO R N', s, AO
to,'T UW', s, UW
do,'D OW', s, 
this,'DH IH S', s, IH
of,'AH V', s, 
wre,'W ER', s, 
villains,'V IH L AH N Z', s, IH
bloody,'B L AH D IY', s, IY
dogs,'D AA G Z', s, AA
melted,'M EH L T AH D', s, 
with,'W IH DH', s, IH
and,'AH N D', s, 
wept,'W EH P T', s, 
children,'CH IH L D R AH N', s, IH
in,'IH N', s, IH
their,'DH EH R', s, 
sad,'S AE D', s, AE
story,'S T AO R IY', s, AO IY
o,'OW', s, 
thus,'DH ɤ S', s, 
quoth,'K ɒ TH', s, 
the,'DH AH', s, 
thus,'DH ɤ S', s, 
thus,'DH ɤ S', s, 
quoth,'K ɒ TH', s, 
forrest,'F AO R AH S T', s, AO
another,'ǝ N ɤ DH ǝ R', s, 
within,'W IH DH IH N', s, IH IH
their,'DH EH R', s, 
arms,'AA R M Z', s, AA
their,'DH EH R', s, 
lips,'L IH P S', s, IH
wre,'W ER', s, 
four,'F AO R', s, AO
red,'R EH D', s, 
roses,'r OW Z IH Z', s, IH
on,'AA N', s, AA
a,'AH', s, 
and,'AH N D', s, 
in,'IH N', s, IH
their,'DH EH R', s, 
summer,'S ɤ M ǝ R', s, 
each,'IY CH', s, IY
a,'AH', s, 
book,'B UH K', s, UH
of,'AH V', s, 
on,'AA N', s, AA
their,'DH EH R', s, 
quoth,'K ɒ TH', s, 
forrest,'F AO R AH S T', s, AO
almost,'AA L M OW S T', s, AA
my,'M AY', s, AY
but,'B AH T', s, 
o,'OW', s, 
the,'DH AH', s, 
devil,'D IH V ǝ L', s, IH
the,'DH AH', s, 
villain,'V IH L AH N', s, IH
when,'ʍ e N', s, 
thus,'DH ɤ S', s, 
told,'T OW L D', s, 
on,'AA N', s, AA
we,'W IY', s, IY
the,'DH AH', s, 
most,'M OW S T', s, 
sweet,'S W IY T', s, IY
work,'W AO R K', s, AO
of,'AH V', s, 
natre,'N EY CH ER', s, EY
that,'DH AE T', s, AE
from,'F R AH M', s, 
the,'DH AH', s, 
she,'SH IY', s, IY
both,'B OW TH', s, 
with,'W IH DH', s, IH
and,'AH N D', s, 
not,'N AA T', s, AA
speak,'S P IY K', s, IY
and,'AH N D', s, 
so,'S OW', s, 
i,'AY', s, AY
left,'L EH F T', s, 
them,'DH EH M', s, 
both,'B OW TH', s, 
to,'T UW', s, UW
bear,'B EH R', s, 
this,'DH IH S', s, IH
tidings,'T ǝ IH D IH N Z', s, IH IH
to,'T UW', s, UW
the,'DH AH', s, 
bloody,'B L AH D IY', s, IY
and,'AH N D', s, 
he,'HH IY', s, IY
my,'M AY', s, AY
lord,'L AO R D', s, AO
if,'IH F', s, IH
to,'T UW', s, UW
the,'DH AH', s, 
you,'Y UW', s, UW
in,'IH N', s, IH
beget,'B IH G EH T', s, IH
your,'Y AO R', s, AO
happiness,'HH AE P IY N AH S', s, AE IY
be,'B IY', s, IY
then,'DH EH N', s, 
for,'F AO R', s, AO
it,'IH T', s, IH
is,'IH Z', s, IH
i,'AY', s, AY
did,'D IH D', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
the,'DH AH', s, 
chaplain,'CH AE P L AH N', s, AE
of,'AH V', s, 
the,'DH AH', s, 
hath,'HH AE TH', s, AE
them,'DH EH M', s, 
but,'B AH T', s, 
to,'T UW', s, UW
the,'DH AH', s, 
truth,'T R UW TH', s, UW
i,'AY', s, AY
do,'D OW', s, 
not,'N AA T', s, AA
i,'AY', s, AY
humbly,'HH AH M B L IY', s, IY
my,'M AY', s, AY
