captain,'K AE P T AH N', s, AE
you,'Y UW', s, UW
must,'M AH S T', s, 
presently,'P R EH Z AH N T L IY', s, IY
to,'T UW', s, UW
the,'DH AH', s, 
mines,'M ǝ IH N Z', s, IH
the,'DH AH', s, 
of,'AH V', s, 
speak,'S P IY K', s, IY
with,'W IH DH', s, IH
you,'Y UW', s, UW
the,'DH AH', s, 
of,'AH V', s, 
to,'T UW', s, UW
whom,'HH UW M', s, UW
the,'DH AH', s, 
order,'AO R D ǝ R', s, AO
of,'AH V', s, 
the,'DH AH', s, 
is,'IH Z', s, IH
given,'G IH V AH N', s, IH
is,'IH Z', s, IH
altogether,'AA L T ǝ G e DH ǝ R', s, AA
by,'B AY', s, AY
an,'AE N', s, AE
irishhman,'ǝ IH r IH SH M ǝ N', s, IH IH
a,'AH', s, 
very,'V EH R IY', s, IY
gentleman,'JH EH N T AH L M AH N', s, 
faith,'F EY TH', s, EY
i,'AY', s, AY
think,'TH IH NG K', s, IH
it,'IH T', s, IH
be,'B IY', s, IY
he,'HH IY', s, IY
and,'AH N D', s, 
the,'DH AH', s, 
captain,'K AE P T AH N', s, AE
captain,'K AE P T AH N', s, AE
with,'W IH DH', s, IH
him,'HH IH M', s, IH
captain,'K AE P T AH N', s, AE
you,'Y UW', s, UW
the,'DH AH', s, 
mines,'M ǝ IH N Z', s, IH
the,'DH AH', s, 
given,'G IH V AH N', s, IH
gentlemen,'JH EH N T AH L M IH N', s, IH
both,'B OW TH', s, 
you,'Y UW', s, UW
will,'W IH L', s, IH
each,'IY CH', s, IY
the,'DH AH', s, 
sounds,'S AW N D Z', s, 
a,'AH', s, 
parley,'P AA R L ǝ IH', s, AA IH
captain,'K AE P T AH N', s, AE
you,'Y UW', s, UW
from,'F R AH M', s, 
the,'DH AH', s, 
brige,'B R IH JH', s, IH
is,'IH Z', s, IH
the,'DH AH', s, 
of,'AH V', s, 
what,'W AH T', s, 
do,'D OW', s, 
you,'Y UW', s, UW
call,'K AO L', s, AO
him,'HH IH M', s, IH
i,'AY', s, AY
him,'HH IH M', s, IH
not,'N AA T', s, AA
whhy,'ʍ ǝ IH', s, IH
this,'DH IH S', s, IH
is,'IH Z', s, IH
an,'AE N', s, AE
arrant,'AW r ǝ N T', s, 
i,'AY', s, AY
him,'HH IH M', s, IH
a,'AH', s, 
a,'AH', s, 
whhy,'ʍ ǝ IH', s, IH
a,'AH', s, 
gull,'G ɤ L', s, 
a,'AH', s, 
fool,'F UH L', s, UH
a,'AH', s, 
that,'DH AE T', s, AE
and,'AH N D', s, 
then,'DH EH N', s, 
goes,'G OW Z', s, 
to,'T UW', s, UW
the,'DH AH', s, 
wars,'W AO R Z', s, AO
to,'T UW', s, UW
himself,'HH IH M S EH L F', s, IH
at,'AE T', s, AE
his,'HH IH Z', s, IH
return,'r IH T ɐ R N', s, IH
into,'IH N T UW', s, IH UW
london,'L AH N D AH N', s, 
under,'ɤ N D ǝ R', s, 
the,'DH AH', s, 
form,'F AO R M', s, AO
of,'AH V', s, 
a,'AH', s, 
and,'AH N D', s, 
in,'IH N', s, IH
the,'DH AH', s, 
great,'G r e T', s, 
and,'AH N D', s, 
will,'W IH L', s, IH
you,'Y UW', s, UW
by,'B AY', s, AY
services,'S ɐ R V IH S IH Z', s, IH IH
wre,'W ER', s, 
and,'AH N D', s, 
a,'AH', s, 
at,'AE T', s, AE
a,'AH', s, 
breach,'B R IY CH', s, IY
at,'AE T', s, AE
a,'AH', s, 
who,'HH UW', s, UW
off,'AO F', s, AO
who,'HH UW', s, UW
was,'W AA Z', s, AA
shot,'SH AA T', s, AA
who,'HH UW', s, UW
what,'W AH T', s, 
terms,'T ɐ R M Z', s, 
the,'DH AH', s, 
enemy,'EH N AH M IY', s, IY
stood,'S T UH D', s, UH
on,'AA N', s, AA
and,'AH N D', s, 
this,'DH IH S', s, IH
con,'K ɒ N', s, 
in,'IH N', s, IH
the,'DH AH', s, 
phrse,'F r EH Z', s, 
of,'AH V', s, 
