by, B AY1 , s, 
lady, L EY1 D IY0 , s, 
thirty, ˈ TH ɐ : R T ǝ IH, s, 
years, Y IH1 R Z , s, 
'tis, T IH1 Z , s, 
more, M AO1 R , s, 
'tis, T IH1 Z , s, 
more, M AO1 R , s, 
his, HH IH1 Z , s, 
son, S AO ̃, s, 
is, IH1 Z , s, 
elder, ˈ e L D ǝ R, s, 
sir, S ER1 , s, 
his, HH IH1 Z , s, 
son, S AO ̃, s, 
is, IH1 Z , s, 
thirty, ˈ TH ɐ : R T ǝ IH, s, 
by, B AY1 , s, 
lady, L EY1 D IY0 , s, 
thirty, ˈ TH ɐ : R T ǝ IH, s, 
years, Y IH1 R Z , s, 
'tis, T IH1 Z , s, 
more, M AO1 R , s, 
'tis, T IH1 Z , s, 
more, M AO1 R , s, 
his, HH IH1 Z , s, 
son, S AO ̃, s, 
is, IH1 Z , s, 
elder, ˈ e L D ǝ R, s, 
sir, S ER1 , s, 
his, HH IH1 Z , s, 
son, S AO ̃, s, 
is, IH1 Z , s, 
thirty, ˈ TH ɐ : R T ǝ IH, s, 
by, B AY1 , s, 
lady, L EY1 D IY0 , s, 
thirty, ˈ TH ɐ : R T ǝ IH, s, 
years, Y IH1 R Z , s, 
'tis, T IH1 Z , s, 
more, M AO1 R , s, 
'tis, T IH1 Z , s, 
more, M AO1 R , s, 
his, HH IH1 Z , s, 
son, S AO ̃, s, 
is, IH1 Z , s, 
elder, ˈ e L D ǝ R, s, 
sir, S ER1 , s, 
his, HH IH1 Z , s, 
son, S AO ̃, s, 
is, IH1 Z , s, 
thirty, ˈ TH ɐ : R T ǝ IH, s, 
