antony, AE1 N T AH0 N IY0 , s, 
is, IH1 Z , s, 
come, K ɤ M, s, 
into, IH1 N T UW0 , s, 
the, DH AH0 , s, 
field, F IY1 L D , s, 
antony, AE1 N T AH0 N IY0 , s, 
is, IH1 Z , s, 
come, K ɤ M, s, 
into, IH0 N T UW1 , s, 
the, DH AH0 , s, 
field, F IY1 L D , s, 
antony, AE1 N T AH0 N IY0 , s, 
is, IH1 Z , s, 
come, K ɤ M, s, 
into, IH0 N T UW1 , s, 
the, DH AH0 , s, 
field, F IY1 L D , s, 
come, K ɤ M, s, 
come, K ɤ M, s, 
come, K ɤ M, s, 
come, K ɤ M, s, 
come, K ɤ M, s, 
come, K ɤ M, s, 
come, K ɤ M, s, 
come, K ɤ M, s, 
come, K ɤ M, s, 
come, K ɤ M, s, 
come, K ɤ M, s, 
come, K ɤ M, s, 
