ill,'IH L',s,'IH'
the,'DH AH',s,''
that,'DH AE T',s,'AE'
profits,'P R AA F IH T S',s,'AA IH'
this,'DH IH S',s,'IH'
man,'M AE N',s,'AE'
whom,'HH UW M',s,'UW'
to,'T UW',s,'UW'
i,'AY',s,'AY'
in,'IH N',s,'IH'
be,'B IY',s,'IY'
with,'W IH DH',s,'IH'
of,'AH V',s,''
crowns,'K r ǝ UH N Z',s,'UH'
and,'AH N D',s,''
i,'AY',s,'AY'
that,'DH AE T',s,'AE'
haply,'AW P L ǝ IH',s,'IH'
them,'DH EH M',s,''
from,'F R AH M',s,''
him,'HH IH M',s,'IH'
yet,'Y EH T',s,''
yield,'Y IY L D',s,'IY'
both,'B OW TH',s,''
my,'M AY',s,'AY'
and,'AH N D',s,''
them,'DH EH M',s,''
to,'T UW',s,'UW'
man,'M AE N',s,'AE'
as,'AE Z',s,'AE'
this,'DH IH S',s,'IH'
dead,'D EH D',s,''
man,'M AE N',s,'AE'
doth,'D AO TH',s,'AO'
me,'M IY',s,'IY'
this,'DH IH S',s,'IH'
o,'OW',s,''
god,'G AA D',s,'AA'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
my,'M AY',s,'AY'
whom,'HH UW M',s,'UW'
in,'IH N',s,'IH'
this,'DH IH S',s,'IH'
conflict,'K ɒ N F L IH K T',s,'IH'
i,'AY',s,'AY'
o,'OW',s,''
heavy,'e V ǝ IH',s,'IH'
events,'IH V EH N T S',s,'IH'
from,'F R AH M',s,''
london,'L AH N D AH N',s,''
by,'B AY',s,'AY'
the,'DH AH',s,''
was,'W AA Z',s,'AA'
i,'AY',s,'AY'
pressed,'P r e S IH D',s,'IH'
forth,'F AO R TH',s,'AO'
my,'M AY',s,'AY'
being,'B IY IH NG',s,'IY IH'
the,'DH AH',s,''
of,'AH V',s,''
man,'M AE N',s,'AE'
on,'AA N',s,'AA'
the,'DH AH',s,''
part,'P AA R T',s,'AA'
of,'AH V',s,''
york,'Y AO R K',s,'AO'
pressed,'P r e S IH D',s,'IH'
by,'B AY',s,'AY'
his,'HH IH Z',s,'IH'
master,'M AW S T ǝ R',s,''
and,'AH N D',s,''
i,'AY',s,'AY'
who,'HH UW',s,'UW'
at,'AE T',s,'AE'
his,'HH IH Z',s,'IH'
my,'M AY',s,'AY'
by,'B AY',s,'AY'
my,'M AY',s,'AY'
of,'AH V',s,''
him,'HH IH M',s,'IH'
pardon,'P AA R D ǝ N',s,'AA'
me,'M IY',s,'IY'
god,'G AA D',s,'AA'
i,'AY',s,'AY'
not,'N AA T',s,'AA'
what,'W AH T',s,''
i,'AY',s,'AY'
did,'D IH D',s,'IH'
and,'AH N D',s,''
pardon,'P AA R D ǝ N',s,'AA'
for,'F AO R',s,'AO'
i,'AY',s,'AY'
not,'N AA T',s,'AA'
thee,'DH IY',s,'IY'
my,'M AY',s,'AY'
tears,'T EH R Z',s,''
shall,'SH AE L',s,'AE'
bloody,'B L AH D IY',s,'IY'
marks,'M AA R K S',s,'AA'
and,'AH N D',s,''
no,'N OW',s,''
till,'T IH L',s,'IH'
their,'DH EH R',s,''
fill,'F IH L',s,'IH'
will,'W IH L',s,'IH'
my,'M AY',s,'AY'
for,'F AO R',s,'AO'
a,'AH',s,''
death,'D EH TH',s,''
on,'AA N',s,'AA'
with,'W IH DH',s,'IH'
me,'M IY',s,'IY'
and,'AH N D',s,''
be,'B IY',s,'IY'
satisfied,'S AE T AH S F AY D',s,'AE AY'
was,'W AA Z',s,'AA'
son,'S AO ̃',s,'AO'
so,'S OW',s,''
a,'AH',s,''
death,'D EH TH',s,''
bear,'B EH R',s,''
thee,'DH IY',s,'IY'
i,'AY',s,'AY'
weep,'W IY P',s,'IY'
my,'M AY',s,'AY'
fill,'F IH L',s,'IH'
