here, HH IY1 R , s, 
here, HH IY1 R , s, 
sir, S ER1 , s, 
here, HH IY1 R , s, 
sir, S ER1 , s, 
i, AY1 , s, 
he, HH IY1 , s, 
kills, K IH1 L Z , s, 
her, HH ER1 , s, 
in, IH N, s, 
her, HH ER1 , s, 
own, OW : N, s, 
humor, HH Y UW1 M ER0 , s, 
here, HH IY1 R , s, 
here, HH IY1 R , s, 
sir, S ER1 , s, 
here, HH IY1 R , s, 
sir, S ER1 , s, 
i, AY1 , s, 
he, HH IY1 , s, 
kills, K IH1 L Z , s, 
her, HH ER0 , s, 
in, IH N, s, 
her, HH ER0 , s, 
own, OW : N, s, 
humor, HH Y UW1 M ER0 , s, 
here, HH IY1 R , s, 
here, HH IY1 R , s, 
sir, S ER1 , s, 
here, HH IY1 R , s, 
sir, S ER1 , s, 
i, AY1 , s, 
he, HH IY1 , s, 
kills, K IH1 L Z , s, 
her, HH ER0 , s, 
in, IH N, s, 
her, HH ER0 , s, 
own, OW : N, s, 
humor, HH Y UW1 M ER0 , s, 
