'tis, T IH1 Z , s, 
and, AH0 N D , s, 
some, S AH1 M , s, 
twenty, ˈ T W e N T ǝ IH, s, 
horse, HH AO1 R S , s, 
all, AA : L, s, 
of, AH1 V , s, 
companionship, K AH0 M P AE1 N Y AH0 N SH IH2 P , s, 
'tis, T IH1 Z , s, 
and, AH0 N D , s, 
some, S AH1 M , s, 
twenty, ˈ T W e N T ǝ IH, s, 
horse, HH AO1 R S , s, 
all, AA : L, s, 
of, AH1 V , s, 
companionship, K AH0 M P AE1 N Y AH0 N SH IH2 P , s, 
'tis, T IH1 Z , s, 
and, AH0 N D , s, 
some, S AH1 M , s, 
twenty, ˈ T W e N T ǝ IH, s, 
horse, HH AO1 R S , s, 
all, AA : L, s, 
of, AH1 V , s, 
companionship, K AH0 M P AE1 N Y AH0 N SH IH2 P , s, 
