so, S OW :, s, 
like, L ǝ IH K, s, 
you, Y UW1 , s, 
sir, S ER1 , s, 
ambassadors, AW M ˈ B AW S ǝ ˌ D AO : R Z, s, 
from, F R AH1 M , s, 
rome, r UW : M, s, 
the, DH AH0 , s, 
one, W AH1 N , s, 
is, IH1 Z , s, 
caius, ˈ K ǝ IH ǝ S, s, 
lucius, L UW1 SH AH0 S , s, 
so, S OW :, s, 
like, L ǝ IH K, s, 
you, Y UW1 , s, 
sir, S ER1 , s, 
ambassadors, AW M ˈ B AW S ǝ ˌ D AO : R Z, s, 
from, F R AH1 M , s, 
rome, r UW : M, s, 
the, DH AH0 , s, 
one, W AH1 N , s, 
is, IH1 Z , s, 
caius, ˈ K ǝ IH ǝ S, s, 
lucius, L UW1 SH AH0 S , s, 
so, S OW :, s, 
like, L ǝ IH K, s, 
you, Y UW1 , s, 
sir, S ER1 , s, 
ambassadors, AW M ˈ B AW S ǝ ˌ D AO : R Z, s, 
from, F R AH1 M , s, 
rome, r UW : M, s, 
the, DH AH0 , s, 
one, W AH1 N , s, 
is, IH1 Z , s, 
caius, ˈ K ǝ IH ǝ S, s, 
lucius, L UW1 SH AH0 S , s, 
so, S OW :, s, 
like, L ǝ IH K, s, 
ambassadors, AW M ˈ B AW S ǝ ˌ D AO : R Z, s, 
rome, r UW : M, s, 
caius, ˈ K ǝ IH ǝ S, s, 
so, S OW :, s, 
like, L ǝ IH K, s, 
ambassadors, AW M ˈ B AW S ǝ ˌ D AO : R Z, s, 
rome, r UW : M, s, 
caius, ˈ K ǝ IH ǝ S, s, 
so, S OW :, s, 
like, L ǝ IH K, s, 
ambassadors, AW M ˈ B AW S ǝ ˌ D AO : R Z, s, 
rome, r UW : M, s, 
caius, ˈ K ǝ IH ǝ S, s, 
so, S OW :, s, 
like, L ǝ IH K, s, 
ambassadors, AW M ˈ B AW S ǝ ˌ D AO : R Z, s, 
rome, r UW : M, s, 
caius, ˈ K ǝ IH ǝ S, s, 
