sir, S ER1 , s, 
ancient, EY1 N CH AH0 N T , s, 
below, B IH ˈ L OW :, s, 
and, AH0 N D , s, 
would, W UH1 D , s, 
speak, S P IY : K, s, 
with, W IH1 DH , s, 
you, Y UW1 , s, 
sir, S ER1 , s, 
ancient, EY1 N CH AH0 N T , s, 
below, B IH ˈ L OW :, s, 
and, AH0 N D , s, 
would, W UH1 D , s, 
speak, S P IY : K, s, 
with, W IH1 DH , s, 
you, Y UW1 , s, 
sir, S ER1 , s, 
ancient, EY1 N CH AH0 N T , s, 
below, B IH ˈ L OW :, s, 
and, AH0 N D , s, 
would, W UH1 D , s, 
speak, S P IY : K, s, 
with, W IH1 DH , s, 
you, Y UW1 , s, 
