you,'Y UW',s,'UW'
me,'M IY',s,'IY'
by,'B AY',s,'AY'
my,'M AY',s,'AY'
habit,'HH AE B AH T',s,'AE'
my,'M AY',s,'AY'
thus,'DH ɤ S',s,''
my,'M AY',s,'AY'
thou,'DH AW',s,''
to,'T UW',s,'UW'
of,'AH V',s,''
england,'IH NG G L AH N D',s,'IH'
we,'W IY',s,'IY'
dead,'D EH D',s,''
we,'W IY',s,'IY'
did,'D IH D',s,'IH'
but,'B AH T',s,''
sleep,'S L IY P',s,'IY'
is,'IH Z',s,'IH'
a,'AH',s,''
better,'B e T ə R',s,''
than,'DH AE N',s,'AE'
tell,'T EH L',s,''
him,'HH IH M',s,'IH'
we,'W IY',s,'IY'
rebuked,'R IH B Y UW K T',s,'IH UW'
him,'HH IH M',s,'IH'
at,'AE T',s,'AE'
but,'B AH T',s,''
that,'DH AE T',s,'AE'
we,'W IY',s,'IY'
not,'N AA T',s,'AA'
good,'G UH D',s,'UH'
to,'T UW',s,'UW'
an,'AE N',s,'AE'
till,'T IH L',s,'IH'
it,'IH T',s,'IH'
wre,'W ER',s,''
full,'F UH L',s,'UH'
we,'W IY',s,'IY'
speak,'S P IY K',s,'IY'
upon,'AH P AA N',s,'AA'
our,'OW R',s,''
and,'AH N D',s,''
our,'OW R',s,''
is,'IH Z',s,'IH'
england,'IH NG G L AH N D',s,'IH'
shall,'SH AE L',s,'AE'
repent,'R IH P EH N T',s,'IH'
his,'HH IH Z',s,'IH'
follly,'F ɒ L ǝ IH',s,'IH'
see,'S IY',s,'IY'
his,'HH IH Z',s,'IH'
weakness,'W IY K N AH S',s,'IY'
and,'AH N D',s,''
our,'OW R',s,''
bid,'B IH D',s,'IH'
him,'HH IH M',s,'IH'
therefre,'DH EH R F AO R',s,'AO'
of,'AH V',s,''
his,'HH IH Z',s,'IH'
ransom,'R AE N S AH M',s,'AE'
must,'M AH S T',s,''
the,'DH AH',s,''
losses,'L AO S AH Z',s,'AO'
we,'W IY',s,'IY'
the,'DH AH',s,''
subjects,'S AH B JH IH K T S',s,'IH'
we,'W IY',s,'IY'
lost,'L AO S T',s,'AO'
the,'DH AH',s,''
we,'W IY',s,'IY'
digested,'D AY JH EH S T IH D',s,'AY IH'
in,'IH N',s,'IH'
to,'T UW',s,'UW'
his,'HH IH Z',s,'IH'
pettiness,'P EH T IY N AH S',s,'IY'
under,'ɤ N D ǝ R',s,''
for,'F AO R',s,'AO'
our,'OW R',s,''
losses,'L AO S AH Z',s,'AO'
his,'HH IH Z',s,'IH'
is,'IH Z',s,'IH'
too,'T UW',s,'UW'
poor,'P UH R',s,'UH'
for,'F AO R',s,'AO'
of,'AH V',s,''
our,'OW R',s,''
blood,'B L AH D',s,''
the,'DH AH',s,''
muster,'M ɤ S T ǝ R',s,''
of,'AH V',s,''
his,'HH IH Z',s,'IH'
too,'T UW',s,'UW'
faint,'F EH N T',s,''
a,'AH',s,''
and,'AH N D',s,''
for,'F AO R',s,'AO'
our,'OW R',s,''
his,'HH IH Z',s,'IH'
at,'AE T',s,'AE'
our,'OW R',s,''
feet,'F IY T',s,'IY'
but,'B AH T',s,''
a,'AH',s,''
weak,'W IY K',s,'IY'
and,'AH N D',s,''
satisfaction,'S AE T AH S F AE K SH AH N',s,'AE AE'
to,'T UW',s,'UW'
this,'DH IH S',s,'IH'
add,'AE D',s,'AE'
and,'AH N D',s,''
tell,'T EH L',s,''
him,'HH IH M',s,'IH'
for,'F AO R',s,'AO'
conclusion,'K AH N K L UW ZH AH N',s,'UW'
he,'HH IY',s,'IY'
hath,'HH AE TH',s,'AE'
his,'HH IH Z',s,'IH'
followers,'F ɒ L ǝ W ǝ R Z',s,''
condemnation,'K AA N D AH M N EY SH AH N',s,'AA EY'
is,'IH Z',s,'IH'
so,'S OW',s,''
far,'F AA R',s,'AA'
my,'M AY',s,'AY'
and,'AH N D',s,''
master,'M AW S T ǝ R',s,''
so,'S OW',s,''
my,'M AY',s,'AY'
i,'AY',s,'AY'
shall,'SH AE L',s,'AE'
deliver,'D IH L IH V ǝ R',s,'IH IH'
so,'S OW',s,''
thanks,'TH AE NG K S',s,'AE'
to,'T UW',s,'UW'
your,'Y AO R',s,'AO'
i,'AY',s,'AY'
to,'T UW',s,'UW'
of,'AH V',s,''
thee,'DH IY',s,'IY'
if,'IH F',s,'IH'
for,'F AO R',s,'AO'
ransom,'R AE N S AH M',s,'AE'
thou,'DH AW',s,''
wilt,'W IH L T',s,'IH'
compound,'K AA M P AW N D',s,'AA'
most,'M OW S T',s,''
for,'F AO R',s,'AO'
