a / an | =
A [letter] | ˈɛ:
à | a
Aaron / ~’s | ˈarǝn / -z
abaiss·er / ~iez | abɛsiˈez
abandon / ~ed | = / m ǝˈbandǝnd, -dǝˌnɪd
abandoned | ǝˈbandǝnd
abase | ǝˈbɛ:s
abashed | =
abate / ~s / ~d | ǝˈbɛ:t / -s / -ɪd /
abated | ǝˈbɛ:tɪd
abatement | ǝˈbɛ:tmǝnt
a-bat-fowling | ǝˈbatˌfǝʊlɪn, -ɪŋ
abbess | =
abbey / ~s | ˈabǝɪ / -z
abbot / ~s | =
abbreviate / ~d | ǝˈbri:vɪˌɛ:tɪd
ABC | ˌɛ:bi:ˈsi:
abed | =
Abel / ~’s | ˈɛ:bǝl / -z
Abergavenny | ˌabǝɹˈɡanǝɪ
abet / ~ting | = / ǝˈbetɪn, -ɪŋ
abhor / ~s / ~ring / ~red / ~redst | ǝˈbɔ:ɹ / -z / -ɪn, -ɪŋ / -d / -st
abhorred | m ǝˈbɔ:ɹd, ǝˈbɒɹɪd
Abhorson | ǝˈbɔ:ɹsǝn
abide / ~s | ǝˈbǝɪd / -z
abilit·y / ~ies | m ǝˈbɪlɪtǝɪ, -lt- / -z
a-billing VA | ǝˈbɪlɪn, -ɪŋ
a-birding | ǝˈbɐ:ɹdɪn, -ɪŋ
abject | ˈabdʒekt
abject / ~s | m ǝbˈdʒekt / -s
abjectly | ˈabdʒeklǝɪ, -ktl-
abjure / ~d | ǝbˈdʒu:ɹ / -d
able / ~r | ˈɛ:bǝl / ˈɛ:blǝɹ
a-bleeding | ǝˈbli:dɪn, -ɪŋ
aboard | ǝˈbɔ:ɹd
abode | ǝˈbo:d
abod·e / ~ed / ~ing | ǝˈbo:dɪd / -ɪn, -ɪŋ
abodement / ~s | ǝˈbo:dmǝnts
abominable | ǝˈbɒmɪˌnabǝl, Holofernes LLL 5.1.24 abˈhɒ-
abominably | ǝˈbɒmɪˌnablǝɪ, abˈhɒ-
abomination / ~s | ǝˌbɒmɪˈnɛ:sɪǝnz, abˌhɒ-
abortive | ǝˈbɔ:ɹtɪv
abortive / ~z | ǝˈbɔ:ɹtɪvz
abound / ~est | ǝˈbǝʊnd / -nst, -ndst
abounding | ǝˈbǝʊndɪn, -ɪŋ
about, abbr bout | m ǝˈbǝʊt, abbr bǝʊt
about to | ǝˈbǝʊt tǝ, -tʊ
above, abbr bove | m ǝˈbɤv, abbr bɤv
Abraham / ~’s | m ˈɛ:brǝˌham, ˈɛ:brǝm / ˈɛ:brǝmz
abram | ˈɛ:brǝm
abreast | =
a-breeding | ǝˈbri:dɪn, -ɪŋ
a-brewing | ǝˈbru:ɪn, -ɪŋ
abridge / ~d | =
abridgement / ~s | =
abroach | ǝˈbro:tʃ
abroad | =
abrogate | ˈabrǝˌgɛ:t
abrook | =
abrupt | ǝˈbrɤpt
abruption | ǝˈbrɤpsɪǝn
abruptly | ǝˈbrɤplǝɪ, -ptl-
absence | =
absent | = [ˈabsǝnt]
absent | = [ǝbˈsent]
Absey | ˈabsi:
Absirtis | abˈsɐ:ɹtɪs
absolute | m ˈabsǝˌlu:t, -slu:t
absolutely | ˌabsǝˈlu:tlǝɪ
absolution Luc | ˌabsǝˈlu:sɪǝn
absolve / ~d | =
abstain / ~s | ǝbˈstɛ:nz
abstaining Luc, TNK | ǝbˈstɛ:nɪn, -ɪŋ
abstemious | ǝbˈstɛ:nɪǝs, -mɪ-
abstinence | =
abstract / ~s | =
absurd | m ǝbˈsɐ:ɹd, ˈabsǝɹd
abundance | ǝˈbɤndǝns, -ˈbǝʊn-
abundant | ǝˈbɤndǝnt, -ˈbǝʊn-
abundantly | m ǝˈbɤndǝntˌlǝɪ, -ˈbǝʊn-
abuse / ~s | =
abus·e / ~es / ~ing / ~ed | = / = / ǝˈbju:zɪn, -ɪŋ / m ǝˈbju:zd, -zɪd, Grumio TS 1.2.7 rɪˈbju:zd
abused | m ǝˈbju:zɪd
abuser | ǝˈbju:zǝɹ
abusing | ǝˈbju:zɪn, -ɪŋ
abutting | ǝˈbɤtɪn, -ɪŋ
aby | ǝˈbǝɪ
abysm | =
Academe / ~s | ˈakǝdi:m, -dɛm / -z
a-capering | ǝˈkɛ:prɪn, -ɪŋ
accent / ~s | =
accept | =
accept / ~s / ~ed | =
acceptance | =
access | m ǝkˈses, ˈakses
accessible | =
accessory | m ˈaksǝˌsɤrǝɪ, -ǝsr-
accidence | =
accident / ~s | ˈaksɪˌdent / -s
accidental | ˈaksɪˌdentɑl
accidentally | m ˌaksiˈdentǝˌlǝɪ, -tlǝɪ
accite / ~s / d | ǝkˈsǝɪt / -s / -ɪd
acclamation / ~s | ˌaklǝˈmɛ:sɪǝnz
accommodate / ~d | ǝˈkɒmǝˌdɛ:t / -ɪd
accommodation / ~s | ǝˌkɒmǝˈdɛ:sɪǝn / -z
accommodo | aˈkɒmǝˌdo:
accompan·y / ~ying / ~ied | m ǝˈkɒmp·ǝˌnǝɪ-, -pn-, -ˈkɤm- / -nǝɪɪn, -ɪŋ / -ǝˌnǝɪd, -pn-
accomplice / ~s | ǝˈkɒmplɪsɪz, -ˈkɤm-
accomplish / ~ing / ~ed | ǝˈkɒmplɪʃ, -ˈkɤm- / -ɪn, -ɪŋ / m -t, -ʃɪd
accomplished | ǝˈkɒmplɪʃt, -ˈkɤm-
accomplishment | ǝˈkɒmplɪʃˌment, -ˈkɤm-
accompt / ~s | ǝˈkɒmt, -mpt / -s
accomptant | ǝˈkɒmtǝnt, -mpt-
