VARNUM ,Varaible NAME,LABEL,TYPE,LENGTH
1,CBSA_LABEL,CBSA text,Character,20
2,NAICS2_label,NAICS 2 text,Character,72
3,TOTAL_UNIT,number of total reporting units,Numeric,8
4,TOTAL1,1-Senior OFF AND MGRS/TOTAL,Numeric,8
5,TOTAL2,2-PROF/TOTAL,Numeric,8
6,TOTAL3,3-TECH/TOTAL,Numeric,8
7,TOTAL4,4-SALE/TOTAL,Numeric,8
8,TOTAL5,5-CLERICALS/TOTAL,Numeric,8
9,TOTAL6,6-CRAFT/TOTAL,Numeric,8
10,TOTAL7,7-OPER/TOTAL,Numeric,8
11,TOTAL8,8-LABORS/TOTAL,Numeric,8
12,TOTAL9,9-Service/TOTAL,Numeric,8
13,TOTAL10,10-TOTAL/TOTAL,Numeric,8
14,TOTAL1_2,1.2-Mid OFF AND MGRS/TOTAL,Numeric,8
15,MT1,MALE SENIOR OFF AND MGRS,Numeric,8
16,MT2,MALE PROFESSIONALS,Numeric,8
17,MT3,MALE TECHNICIANS,Numeric,8
18,MT4,MALE SALES WORKERS,Numeric,8
19,MT5,MALE OFFICE AND CLERICALS,Numeric,8
20,MT6,MALE CRAFT WORKERS,Numeric,8
21,MT7,MALE OPERATIVES,Numeric,8
22,MT8,MALE LABORERS,Numeric,8
23,MT9,MALE SERVICE WORKERS,Numeric,8
24,MT10,MALE TOTAL,Numeric,8
25,MT1_2,MALE MID OFF AND MGRS,Numeric,8
26,FT1,FEMALE SENIOR OFF AND MGRS,Numeric,8
27,FT2,FEMALE PROFESSIONALS,Numeric,8
28,FT3,FEMALE TECHNICIANS,Numeric,8
29,FT4,FEMALE SALES WORKERS,Numeric,8
30,FT5,FEMALE OFFICE AND CLERICALS,Numeric,8
31,FT6,FEMALE CRAFT WORKERS,Numeric,8
32,FT7,FEMALE OPERATIVES,Numeric,8
33,FT8,FEMALE LABORERS,Numeric,8
34,FT9,FEMALE SERVICE WORKERS,Numeric,8
35,FT10,FEMALE TOTAL,Numeric,8
36,FT1_2,FEMALE MID OFF AND MGRS,Numeric,8
37,WHT1,WHITE SENIOR OFF AND MGRS,Numeric,8
38,WHT2,WHITE PROFESSIONALS,Numeric,8
39,WHT3,WHITE TECHNICIANS,Numeric,8
40,WHT4,WHITE SALES WORKERS,Numeric,8
41,WHT5,WHITE OFFICE AND CLERICALS,Numeric,8
42,WHT6,WHITE CRAFT WORKERS,Numeric,8
43,WHT7,WHITE OPERATIVES,Numeric,8
44,WHT8,WHITE LABORERS,Numeric,8
45,WHT9,WHITE SERVICE WORKERS,Numeric,8
46,WHT10,WHITE TOTAL,Numeric,8
47,WHT1_2,WHITE MID OFF AND MGRS,Numeric,8
48,WHM1,1-Senior OFF AND MGRS/WHITE/MALE,Numeric,8
49,WHM2,2-PROF/WHITE/MALE,Numeric,8
50,WHM3,3-TECH/WHITE/MALE,Numeric,8
51,WHM4,4-SALE/WHITE/MALE,Numeric,8
52,WHM5,5-CLERICALS/WHITE/MALE,Numeric,8
53,WHM6,6-CRAFT/WHITE/MALE,Numeric,8
54,WHM7,7-OPER/WHITE/MALE,Numeric,8
55,WHM8,8-LABORS/WHITE/MALE,Numeric,8
56,WHM9,9-Service/WHITE/MALE,Numeric,8
57,WHM10,10-TOTAL/WHITE/MALE,Numeric,8
58,WHM1_2,1.2-Mid OFF AND MGRS/WHITE/MALE,Numeric,8
59,WHF1,1-Senior OFF AND MGRS/WHITE/FEMALE,Numeric,8
60,WHF2,2-PROF/WHITE/FEMALE,Numeric,8
61,WHF3,3-TECH/WHITE/FEMALE,Numeric,8
62,WHF4,4-SALE/WHITE/FEMALE,Numeric,8
63,WHF5,5-CLERICALS/WHITE/FEMALE,Numeric,8
64,WHF6,6-CRAFT/WHITE/FEMALE,Numeric,8
65,WHF7,7-OPER/WHITE/FEMALE,Numeric,8
66,WHF8,8-LABORS/WHITE/FEMALE,Numeric,8
67,WHF9,9-Service/WHITE/FEMALE,Numeric,8
68,WHF10,10-TOTAL/WHITE/FEMALE,Numeric,8
69,WHF1_2,1.2-Mid OFF AND MGRS/WHITE/FEMALE,Numeric,8
70,BLKT1,SENIOR BLACK OFF AND MGRS,Numeric,8
71,BLKT2,BLACK PROFESSIONALS,Numeric,8
72,BLKT3,BLACK TECHNICIANS,Numeric,8
73,BLKT4,BLACK SALES WORKERS,Numeric,8
74,BLKT5,BLACK OFFICE AND CLERICALS,Numeric,8
75,BLKT6,BLACK CRAFT WORKERS,Numeric,8
76,BLKT7,BLACK OPERATIVES,Numeric,8
77,BLKT8,BLACK LABORERS,Numeric,8
78,BLKT9,BLACK SERVICE WORKERS,Numeric,8
79,BLKT10,BLACK TOTAL,Numeric,8
80,BLKT1_2,MID BLACK OFF AND MGRS,Numeric,8
81,BLKM1,1-Senior OFF AND MGRS/BLACK/MALE,Numeric,8
82,BLKM2,2-PROF/BLACK/MALE,Numeric,8
83,BLKM3,3-TECH/BLACK/MALE,Numeric,8
84,BLKM4,4-SALE/BLACK/MALE,Numeric,8
85,BLKM5,5-CLERICALS/BLACK/MALE,Numeric,8
86,BLKM6,6-CRAFT/BLACK/MALE,Numeric,8
87,BLKM7,7-OPER/BLACK/MALE,Numeric,8
88,BLKM8,8-LABORS/BLACK/MALE,Numeric,8
89,BLKM9,9-Service/BLACK/MALE,Numeric,8
90,BLKM10,10-TOTAL/BLACK/MALE,Numeric,8
91,BLKM1_2,1.2-MidOFF AND MGRS/BLACK/MALE,Numeric,8
92,BLKF1,1-Senior OFF AND MGRS/BLACK/FEMALE,Numeric,8
93,BLKF2,2-PROF/BLACK/FEMALE,Numeric,8
94,BLKF3,3-TECH/BLACK/FEMALE,Numeric,8
95,BLKF4,4-SALE/BLACK/FEMALE,Numeric,8
96,BLKF5,5-CLERICALS/BLACK/FEMALE,Numeric,8
97,BLKF6,6-CRAFT/BLACK/FEMALE,Numeric,8
98,BLKF7,7-OPER/BLACK/FEMALE,Numeric,8
99,BLKF8,8-LABORS/BLACK/FEMALE,Numeric,8
100,BLKF9,9-Service/BLACK/FEMALE,Numeric,8
101,BLKF10,10-TOTAL/BLACK/FEMALE,Numeric,8
102,BLKF1_2,1.2-MidOFF AND MGRS/BLACK/FEMALE,Numeric,8
103,HISPT1,HISPANIC SENIOR OFF AND MGRS,Numeric,8
104,HISPT2,HISPANIC PROFESSIONALS,Numeric,8
105,HISPT3,HISPANIC TECHNICIANS,Numeric,8
106,HISPT4,HISPANIC SALES WORKERS,Numeric,8
107,HISPT5,HISPANIC OFFICE AND CLERICALS,Numeric,8
108,HISPT6,HISPANIC CRAFT WORKERS,Numeric,8
109,HISPT7,HISPANIC OPERATIVES,Numeric,8
110,HISPT8,HISPANIC LABORERS,Numeric,8
111,HISPT9,HISPANIC SERVICE WORKERS,Numeric,8
112,HISPT10,HISPANIC TOTAL,Numeric,8
113,HISPT1_2,HISPANIC MID OFF AND MGRS,Numeric,8
114,HISPM1,1-Senior OFF AND MGRS/HISPANIC/MALE,Numeric,8
115,HISPM2,2-PROF/HISPANIC/MALE,Numeric,8
116,HISPM3,3-TECH/HISPANIC/MALE,Numeric,8
117,HISPM4,4-SALE/HISPANIC/MALE,Numeric,8
118,HISPM5,5-CLERICALS/HISPANIC/MALE,Numeric,8
119,HISPM6,6-CRAFT/HISPANIC/MALE,Numeric,8
120,HISPM7,7-OPER/HISPANIC/MALE,Numeric,8
121,HISPM8,8-LABORS/HISPANIC/MALE,Numeric,8
122,HISPM9,9-Service/HISPANIC/MALE,Numeric,8
123,HISPM10,10-TOTAL/HISPANIC/MALE,Numeric,8
124,HISPM1_2,1.2-Mid OFF AND MGRS/HISPANIC/MALE,Numeric,8
125,HISPF1,1-Senior OFF AND MGRS/HISPANICFE/MALE,Numeric,8
126,HISPF2,2-PROF/HISPANIC/FEMALE,Numeric,8
127,HISPF3,3-TECH/HISPANIC/FEMALE,Numeric,8
128,HISPF4,4-SALE/HISPANIC/FEMALE,Numeric,8
129,HISPF5,5-CLERICALS/HISPANIC/FEMALE,Numeric,8
130,HISPF6,6-CRAFT/HISPANIC/FEMALE,Numeric,8
131,HISPF7,7-OPER/HISPANIC/FEMALE,Numeric,8
132,HISPF8,8-LABORS/HISPANIC/FEMALE,Numeric,8
133,HISPF9,9-Service/HISPANIC/FEMALE,Numeric,8
134,HISPF10,10-TOTAL/HISPANIC/FEMALE,Numeric,8
135,HISPF1_2,1.2-Mid OFF AND MGRS/HISPANICFE/FEMALE,Numeric,8
136,ASIANT1,ASIAN SENIOR OFF AND MGRS,Numeric,8
137,ASIANT2,ASIAN PROFESSIONALS,Numeric,8
138,ASIANT3,ASIAN TECHNICIANS,Numeric,8
139,ASIANT4,ASIAN SALES WORKERS,Numeric,8
140,ASIANT5,ASIAN OFFICE AND CLERICALS,Numeric,8
141,ASIANT6,ASIAN CRAFT WORKERS,Numeric,8
142,ASIANT7,ASIAN OPERATIVES,Numeric,8
143,ASIANT8,ASIAN LABORERS,Numeric,8
144,ASIANT9,ASIAN SERVICE WORKERS,Numeric,8
145,ASIANT10,ASIAN TOTAL,Numeric,8
146,ASIANT1_2,ASIAN MID OFF AND MGRS,Numeric,8
147,ASIANM1,1-Senior OFF AND MGRS/ASIAN/MALE/male,Numeric,8
148,ASIANM2,2-PROF/Asian/MALE,Numeric,8
149,ASIANM3,3-TECH/ASIAN/MALE,Numeric,8
150,ASIANM4,4-SALE/ASIAN/MALE,Numeric,8
151,ASIANM5,5-CLERICALS/ASIAN/MALE,Numeric,8
152,ASIANM6,6-CRAFT/ASIAN/MALE,Numeric,8
153,ASIANM7,7-OPER/ASIAN/MALE,Numeric,8
154,ASIANM8,8-LABORS/ASIAN/MALE,Numeric,8
155,ASIANM9,9-Service/ASIAN/MALE,Numeric,8
156,ASIANM10,10-TOTAL/ASIAN/MALE,Numeric,8
157,ASIANM1_2,1.2-Mid OFF AND MGRS/ASIAN/MALE,Numeric,8
158,ASIANF1,1-Senior OFF AND MGRS/ASIAN/female,Numeric,8
159,ASIANF2,2-PROF/Asian/FEMALE,Numeric,8
160,ASIANF3,3-TECH/ASIAN/FEMALE,Numeric,8
161,ASIANF4,4-SALE/ASIAN/FEMALE,Numeric,8
162,ASIANF5,5-CLERICALS/ASIAN/FEMALE,Numeric,8
163,ASIANF6,6-CRAFT/ASIAN/FEMALE,Numeric,8
164,ASIANF7,7-OPER/ASIAN/FEMALE,Numeric,8
165,ASIANF8,8-LABORS/ASIAN/FEMALE,Numeric,8
166,ASIANF9,9-Service/ASIAN/FEMALE,Numeric,8
167,ASIANF10,10-TOTAL/ASIAN/FEMALE,Numeric,8
168,ASIANF1_2,1.2-Mid OFF AND MGRS/ASIAN/FEMALE,Numeric,8
169,AIANT1,INDIAN SENIOR OFF AND MGRS,Numeric,8
170,AIANT2,INDIAN PROFESSIONALS,Numeric,8
171,AIANT3,INDIAN TECHNICIANS,Numeric,8
172,AIANT4,INDIAN SALES WORKERS,Numeric,8
173,AIANT5,INDIAN OFFICE AND CLERICALS,Numeric,8
174,AIANT6,INDIAN CRAFT WORKERS,Numeric,8
175,AIANT7,INDIAN OPERATIVES,Numeric,8
176,AIANT8,INDIAN LABORERS,Numeric,8
177,AIANT9,INDIAN SERVICE WORKERS,Numeric,8
178,AIANT10,INDIAN TOTAL,Numeric,8
179,AIANT1_2,INDIAN MID OFF AND MGRS,Numeric,8
180,AIANM1,1-Senior OFF AND MGRS/AM-INDIAN-ALK/MALE,Numeric,8
