AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AO	 monophthong	 back	 rounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AE	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 UH	 monophthong	 back	 rounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AA	 monophthong	 back	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 UW	 monophthong	 back	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 EH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 OW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AE	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AA	 monophthong	 back	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AE	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AE	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 UH	 monophthong	 back	 rounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AO	 monophthong	 back	 rounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 OW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 UW	 monophthong	 back	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 UW	 monophthong	 back	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AO	 monophthong	 back	 rounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AO	 monophthong	 back	 rounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AA	 monophthong	 back	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 UW	 monophthong	 back	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AO	 monophthong	 back	 rounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AA	 monophthong	 back	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AE	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AE	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 UW	 monophthong	 back	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AE	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 OW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AO	 monophthong	 back	 rounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 OW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 OW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AO	 monophthong	 back	 rounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 UW	 monophthong	 back	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 OW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 EH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 OW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AE	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 EH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 OW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 UH	 monophthong	 back	 rounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 OW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 UH	 monophthong	 back	 rounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AO	 monophthong	 back	 rounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 OW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AA	 monophthong	 back	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 UW	 monophthong	 back	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AA	 monophthong	 back	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 UW	 monophthong	 back	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AA	 monophthong	 back	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AA	 monophthong	 back	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 OW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 UW	 monophthong	 back	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AE	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 OW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 UW	 monophthong	 back	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 EH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AE	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 UW	 monophthong	 back	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AE	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 UW	 monophthong	 back	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 EY	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 AH	 monophthong	 central	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 AW	 diphthong			
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 ER	 monophthong	 central	 rounded	 tense
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IH	 monophthong	 front	 unrounded	 lax
AWW	 Helen	 f	 protag	 comedy	 IY	 monophthong	 front	 unrounded	 tense
