character,play,gender,numlines
HAMLET,Hamlet,Male,1506
IAGO,Othello,Male,1088
KING HENRY,Henry V,Male,1031
OTHELLO,Othello,Male,880
TIMON,Timon of Athens,Male,850
DUKE,Measure for Measure,Male,847
ANTONY,Antony and Cleopatra,Male,839
LEAR,King Lear,Male,749
KING EDWARD,King Edward III,Male,748
BRUTUS,Julius Caesar,Male,722
MACBETH,Macbeth,Male,715
TITUS,Titus Andronicus,Male,711
LEONTES,The Winter's Tale,Male,686
RICHARD,Richard III,Male,685
CORIOLANUS,Coriolanus,Male,675
PROSPERO,The Tempest,Male,656
FALSTAFF,Henry IV Part 2,Male,641
ROMEO,Romeo and Juliet,Male,617
FALSTAFF,Henry IV Part 1,Male,602
PERICLES,Pericles,Male,602
PALAMON,The Two Noble Kinsmen,Male,593
BEROWNE,Love's Labour's Lost,Male,592
PETRUCHIO,The Taming of the Shrew,Male,589
MENENIUS,Coriolanus,Male,578
PRINCE HAL,Henry IV Part 1,Male,572
HOTSPUR,Henry IV Part 1,Male,559
KING,Hamlet,Male,552
TROILUS,Troilus and Cressida,Male,537
BASTARD,King John,Male,523
ARCITE,The Two Noble Kinsmen,Male,521
CASSIUS,Julius Caesar,Male,507
ULYSSES,Troilus and Cressida,Male,485
KING RICHARD,Richard III,Male,466
KING RICHARD,Richard II,Male,463
KING HENRY,Henry VIII,Male,459
PROTEUS,The Two Gentlemen of Verona,Male,446
POSTHUMUS,Cymbeline,Male,442
FALSTAFF,The Merry Wives of Windsor,Male,438
KING JOHN,King John,Male,437
WOLSEY,Henry VIII,Male,437
WARWICK,Henry VI Part 3,Male,435
BENEDICK,Much Ado About Nothing,Male,430
IACHIMO,Cymbeline,Male,430
EDWARD,Henry VI Part 3,Male,428
CAESAR,Antony and Cleopatra,Male,419
PANDARUS,Troilus and Cressida,Male,414
TALBOT,Henry VI Part 1,Male,406
EDGAR,King Lear,Male,392
VALENTINE,The Two Gentlemen of Verona,Male,391
RICHARD,Henry VI Part 3,Male,390
KING,All's Well That Ends Well,Male,380
YORK,Henry VI Part 2,Male,379
BUCKINGHAM,Richard III,Male,374
PAROLLES,All's Well That Ends Well,Male,373
KENT,King Lear,Male,368
KING,Henry VI Part 3,Male,363
AARON,Titus Andronicus,Male,357
POLONIUS,Hamlet,Male,357
SHYLOCK,The Merchant of Venice,Male,352
ENOBARBUS,Antony and Cleopatra,Male,346
LEONATO,Much Ado About Nothing,Male,344
SIR TOBY,Twelfth Night,Male,343
KING HENRY,Henry IV Part 1,Male,339
GLOUCESTER,King Lear,Male,338
BASSANIO,The Merchant of Venice,Male,336
BELARIUS,Cymbeline,Male,336
FRIAR,Romeo and Juliet,Male,332
MARCUS,Titus Andronicus,Male,329
ANTONY,Julius Caesar,Male,329
THESEUS,The Two Noble Kinsmen,Male,328
BOLINGBROKE,Richard II,Male,324
DON PEDRO,Much Ado About Nothing,Male,323
ANGELO,Measure for Measure,Male,320
KING,Henry VI Part 2,Male,314
PRINCE HENRY,Henry IV Part 2,Male,313
KING,Love's Labour's Lost,Male,311
EDMUND,King Lear,Male,307
GOWER,Pericles,Male,307
FESTE,Twelfth Night,Male,306
GLOUCESTER,Henry VI Part 2,Male,303
SICINIUS,Coriolanus,Male,302
ORLANDO,As You Like It,Male,301
FORD,The Merry Wives of Windsor,Male,300
CAMILLO,The Winter's Tale,Male,298
SUFFOLK,Henry VI Part 2,Male,298
LUCIO,Measure for Measure,Male,296
HORATIO,Hamlet,Male,294
RICHARD,Richard II,Male,293
KING HENRY IV,Henry IV Part 2,Male,291
AUTOLYCUS,The Winter's Tale,Male,291
ANTIPHOLUS OF SYRACUSE,The Comedy of Errors,Male,291
TRANIO,The Taming of the Shrew,Male,291
CYMBELINE,Cymbeline,Male,290
YORK,Richard II,Male,286
TOUCHSTONE,As You Like It,Male,283
THERSITES,Troilus and Cressida,Male,283
CLAUDIO,Much Ado About Nothing,Male,282
MALVOLIO,Twelfth Night,Male,281
PRINCE,King Edward III,Male,281
FLUELLEN,Henry V,Male,278
COMINIUS,Coriolanus,Male,278
BERTRAM,All's Well That Ends Well,Male,277
LAFEW,All's Well That Ends Well,Male,276
AUFIDIUS,Coriolanus,Male,274
CASSIO,Othello,Male,274
POLIXENES,The Winter's Tale,Male,272
CAPULET,Romeo and Juliet,Male,272
KING JOHN,King Edward III,Male,271
CLOTEN,Cymbeline,Male,260
MERCUTIO,Romeo and Juliet,Male,259
BOTTOM,A Midsummer Night's Dream,Male,255
APEMANTUS,Timon of Athens,Male,249
BRUTUS,Coriolanus,Male,246
DROMIO OF SYRACUSE,The Comedy of Errors,Male,244
CADE,Henry VI Part 2,Male,238
ARMADO,Love's Labour's Lost,Male,235
THESEUS,A Midsummer Night's Dream,Male,235
FOOL,King Lear,Male,227
BOYET,Love's Labour's Lost,Male,227
OBERON,A Midsummer Night's Dream,Male,225
CANTERBURY,Henry V,Male,224
CHORUS,Henry V,Male,223
JAQUES,As You Like It,Male,221
ORSINO,Twelfth Night,Male,220
PISANIO,Cymbeline,Male,217
EVANS,The Merry Wives of Windsor,Male,217
HECTOR,Troilus and Cressida,Male,213
ANTIPHOLUS OF EPHESUS,The Comedy of Errors,Male,212
MARTIUS,Coriolanus,Male,212
MALCOLM,Macbeth,Male,211
NORFOLK,Henry VIII,Male,211
SATURNINUS,Titus Andronicus,Male,210
LAERTES,Hamlet,Male,210
KING PHILIP,King John,Male,209
HORTENSIO,The Taming of the Shrew,Male,208
PUCK,A Midsummer Night's Dream,Male,206
FLORIZEL,The Winter's Tale,Male,205
FLAVIUS,Timon of Athens,Male,205
HUBERT,King John,Male,204
LAUNCE,The Two Gentlemen of Verona,Male,201
DUKE,The Two Gentlemen of Verona,Male,200
SPEED,The Two Gentlemen of Verona,Male,196
ARIEL,The Tempest,Male,196
SHALLOW,Henry IV Part 2,Male,195
AGAMEMNON,Troilus and Cressida,Male,195
CLOWN,All's Well That Ends Well,Male,195
JOHN OF GAUNT,Richard II,Male,192
BUCKINGHAM,Henry VIII,Male,192
ACHILLES,Troilus and Cressida,Male,191
COSTARD,Love's Labour's Lost,Male,190
ESCALUS,Measure for Measure,Male,189
LUCENTIO,The Taming of the Shrew,Male,189
WORCESTER,Henry IV Part 1,Male,189
ANTONIO,The Merchant of Venice,Male,188
RICHARD,Henry VI Part 1,Male,184
CLOWN,The Winter's Tale,Male,183
GLOUCESTER,Henry VI Part 1,Male,183
LORENZO,The Merchant of Venice,Male,180
MACDUFF,Macbeth,Male,180
LUCIUS,Titus Andronicus,Male,179
KING,Henry VI Part 1,Male,179
LYSANDER,A Midsummer Night's Dream,Male,179
CALIBAN,The Tempest,Male,178
GRATIANO,The Merchant of Venice,Male,177
DOGBERRY,Much Ado About Nothing,Male,176
SUFFOLK,Henry VI Part 1,Male,174
