character	play	gender	numlines
ROSALIND	As You Like It	Female	685
CLEOPATRA	Antony and Cleopatra	Female	678
INNOGEN	Cymbeline	Female	594
PORTIA	The Merchant of Venice	Female	574
JULIET	Romeo and Juliet	Female	542
HELENA	All's Well That Ends Well	Female	478
ISABELLA	Measure for Measure	Female	424
DESDEMONA	Othello	Female	391
EMILIA	The Two Noble Kinsmen	Female	374
VIOLA	Twelfth Night	Female	335
PAULINA	The Winter's Tale	Female	332
MISTRESS PAGE	The Merry Wives of Windsor	Female	328
DAUGHTER	The Two Noble Kinsmen	Female	324
JULIA	The Two Gentlemen of Verona	Female	322
QUEEN	Henry VI Part 2	Female	316
OLIVIA	Twelfth Night	Female	314
VOLUMNIA	Coriolanus	Female	311
CRESSIDA	Troilus and Cressida	Female	301
COUNTESS	All's Well That Ends Well	Female	291
PRINCESS	Love's Labour's Lost	Female	288
CELIA	As You Like It	Female	282
BEATRICE	Much Ado About Nothing	Female	279
QUEEN	Henry VI Part 3	Female	279
NURSE	Romeo and Juliet	Female	277
QUEEN ELIZABETH	Richard III	Female	272
CONSTANCE	King John	Female	264
ADRIANA	The Comedy of Errors	Female	263
QUEEN KATHERINE	Henry VIII	Female	261
LADY	Macbeth	Female	259
TAMORA	Titus Andronicus	Female	257
PUCELLE	Henry VI Part 1	Female	254
EMILIA	Othello	Female	243
MISTRESS QUICKLY	The Merry Wives of Windsor	Female	236
HELENA	A Midsummer Night's Dream	Female	230
KATHERINA	The Taming of the Shrew	Female	221
QUEEN MARGARET	Richard III	Female	218
COUNTESS	King Edward III	Female	214
HERMIONE	The Winter's Tale	Female	211
GONERILL	King Lear	Female	199
MISTRESS FORD	The Merry Wives of Windsor	Female	192
REGAN	King Lear	Female	190
MARINA	Pericles	Female	190
OPHELIA	Hamlet	Female	173
HOSTESS	Henry IV Part 2	Female	171
QUEEN	Cymbeline	Female	168
ROSALINE	Love's Labour's Lost	Female	165
HERMIA	A Midsummer Night's Dream	Female	164
SILVIA	The Two Gentlemen of Verona	Female	158
QUEEN	Hamlet	Female	157
ANNE	Richard III	Female	157
MIRANDA	The Tempest	Female	153
MARIA	Twelfth Night	Female	149
TITANIA	A Midsummer Night's Dream	Female	141
